"","Taxa","eDNA_16S","verts_count"
"52","Pollachius_virens",0,7.954545455
"53","Scomber_scombrus",0,4.971590909
"54","Sebastes",0,0.994318182
"55","Squalus_acanthias",0,0
"56","Tautogolabrus_adspersus",0,0
"57","Triglops_murrayi",0,0
"58","Urophycis_chuss",0,0
"59","Urophycis_tenuis",0,0
"60","Zoarces_americanus",0,0
"61","Alosa_pseudoharengus",0,0
"62","Amblyraja_radiata",0,0
"63","Argentina_silus",0,2
"64","Benthosema_glaciale",0,0
"65","Centroscyllium_fabricii",0,0
"66","Citharichthys_arctifrons",0,0
"67","Clupea_harengus",0,5
"68","Enchelyopus_cimbrius",0,0
"69","Glyptocephalus_cynoglossus",0,0
"70","Helicolenus_dactylopterus",0,0
"71","Hippoglossus_hippoglossus",0,4
"72","Leptoclinus_maculatus",0,0
"73","Leucoraja_erinacea",0,17
"74","Lophius_americanus",0,0
"75","Lumpenus_lampretaeformis",0,0
"76","Melanogrammus_aeglefinus",0.148220803,353
"77","Merluccius_albidus",0,0
"78","Merluccius_bilinearis",0,83
"79","Myoxocephalus_octodecemspinosus",0.399361314,46
"80","Notoscopelus_elongatus",0,0
"81","Phycis_chesteri",0,0
"82","Pollachius_virens",0,1
"83","Scomber_scombrus",0,0
"84","Sebastes",0,0
"85","Squalus_acanthias",0,0
"86","Tautogolabrus_adspersus",0,0
"87","Triglops_murrayi",0,0
"88","Urophycis_chuss",0.447217153,17
"89","Urophycis_tenuis",0,0
"90","Zoarces_americanus",0,1
"91","Alosa_pseudoharengus",0,0
"92","Amblyraja_radiata",0,0
"93","Argentina_silus",0,0
"94","Benthosema_glaciale",0,0
"95","Centroscyllium_fabricii",0,0
"96","Citharichthys_arctifrons",0,0
"97","Clupea_harengus",0.593309742,261.4942529
"98","Enchelyopus_cimbrius",0,0
"99","Glyptocephalus_cynoglossus",0,0
"100","Helicolenus_dactylopterus",0,0
"101","Hippoglossus_hippoglossus",0,1.005747126
"102","Leptoclinus_maculatus",0,0
"103","Leucoraja_erinacea",0,0
"104","Lophius_americanus",0,0
"105","Lumpenus_lampretaeformis",0,0
"106","Melanogrammus_aeglefinus",0.264739267,179.0229885
"107","Merluccius_albidus",0,0
"108","Merluccius_bilinearis",0,0
"109","Myoxocephalus_octodecemspinosus",0,9.051724138
"110","Notoscopelus_elongatus",0,0
"111","Phycis_chesteri",0,0
"112","Pollachius_virens",0,0
"113","Scomber_scombrus",0,0
"114","Sebastes",0.141950992,0
"115","Squalus_acanthias",0,0
"116","Tautogolabrus_adspersus",0,0
"117","Triglops_murrayi",0,0
"118","Urophycis_chuss",0,0
"119","Urophycis_tenuis",0,0
"120","Zoarces_americanus",0,0
"121","Alosa_pseudoharengus",0,0
"122","Amblyraja_radiata",0,0
"123","Argentina_silus",0,0
"124","Benthosema_glaciale",0,0
"125","Centroscyllium_fabricii",0,0
"126","Citharichthys_arctifrons",0,0
"127","Clupea_harengus",0.390389862,12.92613636
"128","Enchelyopus_cimbrius",0,0
"129","Glyptocephalus_cynoglossus",0,0
"130","Helicolenus_dactylopterus",0,0
"131","Hippoglossus_hippoglossus",0,0
"132","Leptoclinus_maculatus",0,0
"133","Leucoraja_erinacea",0,0
"134","Lophius_americanus",0,0
"135","Lumpenus_lampretaeformis",0,0
"136","Melanogrammus_aeglefinus",0,0.994318182
"137","Merluccius_albidus",0,0
"138","Merluccius_bilinearis",0,0
"139","Myoxocephalus_octodecemspinosus",0,0
"140","Notoscopelus_elongatus",0,0
"141","Phycis_chesteri",0,0
"142","Pollachius_virens",0,0
"143","Scomber_scombrus",0,0
"144","Sebastes",0,0
"145","Squalus_acanthias",0,0
"146","Tautogolabrus_adspersus",0,0
"147","Triglops_murrayi",0,0
"148","Urophycis_chuss",0,0
"149","Urophycis_tenuis",0,0
"150","Zoarces_americanus",0,0
"151","Alosa_pseudoharengus",0,0
"152","Amblyraja_radiata",0,0
"153","Argentina_silus",0,0
"154","Benthosema_glaciale",0,0
"155","Centroscyllium_fabricii",0,0
"156","Citharichthys_arctifrons",0,0
"157","Clupea_harengus",0,5
"158","Enchelyopus_cimbrius",0,3
"159","Glyptocephalus_cynoglossus",0.389942928,8
"160","Helicolenus_dactylopterus",0,0
"161","Hippoglossus_hippoglossus",0,0
"162","Leptoclinus_maculatus",0,0
"163","Leucoraja_erinacea",0,0
"164","Lophius_americanus",0,0
"165","Lumpenus_lampretaeformis",0,0
"166","Melanogrammus_aeglefinus",0,0
"167","Merluccius_albidus",0,0
"168","Merluccius_bilinearis",0.551210859,56
"169","Myoxocephalus_octodecemspinosus",0,0
"170","Notoscopelus_elongatus",0,0
"171","Phycis_chesteri",0,0
"172","Pollachius_virens",0,0
"173","Scomber_scombrus",0,0
"174","Sebastes",0,0
"175","Squalus_acanthias",0,0
"176","Tautogolabrus_adspersus",0,0
"177","Triglops_murrayi",0,0
"178","Urophycis_chuss",0,0
"179","Urophycis_tenuis",0,3
"180","Zoarces_americanus",0,0
"181","Alosa_pseudoharengus",0,0
"182","Amblyraja_radiata",0,0
"183","Argentina_silus",0,0
"184","Benthosema_glaciale",0,0
"185","Centroscyllium_fabricii",0,0
"186","Citharichthys_arctifrons",0,0
"187","Clupea_harengus",0,13.15028902
"188","Enchelyopus_cimbrius",0.374349943,1.011560694
"189","Glyptocephalus_cynoglossus",0,3.034682081
"190","Helicolenus_dactylopterus",0,0
"191","Hippoglossus_hippoglossus",0,0
"192","Leptoclinus_maculatus",0,0
"193","Leucoraja_erinacea",0,0
"194","Lophius_americanus",0,0
"195","Lumpenus_lampretaeformis",0.24842574,3.034682081
"196","Melanogrammus_aeglefinus",0,0
"197","Merluccius_albidus",0,0
"198","Merluccius_bilinearis",0,2.023121387
"199","Myoxocephalus_octodecemspinosus",0,0
"200","Notoscopelus_elongatus",0,0
"201","Phycis_chesteri",0,0
"202","Pollachius_virens",0,0
"203","Scomber_scombrus",0.195324572,0
"204","Sebastes",0,16.1849711
"205","Squalus_acanthias",0,0
"206","Tautogolabrus_adspersus",0,0
"207","Triglops_murrayi",0,0
"208","Urophycis_chuss",0,0
"209","Urophycis_tenuis",0,0
"210","Zoarces_americanus",0,0
"211","Alosa_pseudoharengus",0,0
"212","Amblyraja_radiata",0,0
"213","Argentina_silus",0,0
"214","Benthosema_glaciale",0,0
"215","Centroscyllium_fabricii",0,0
"216","Citharichthys_arctifrons",0,0
"217","Clupea_harengus",0,0
"218","Enchelyopus_cimbrius",0,0
"219","Glyptocephalus_cynoglossus",0,0
"220","Helicolenus_dactylopterus",0,0
"221","Hippoglossus_hippoglossus",0,0
"222","Leptoclinus_maculatus",0,7.122093023
"223","Leucoraja_erinacea",0,0
"224","Lophius_americanus",0,0
"225","Lumpenus_lampretaeformis",0,0
"226","Melanogrammus_aeglefinus",0,0
"227","Merluccius_albidus",0,0
"228","Merluccius_bilinearis",0,0
"229","Myoxocephalus_octodecemspinosus",0,1.01744186
"230","Notoscopelus_elongatus",0,0
"231","Phycis_chesteri",0,0
"232","Pollachius_virens",0,0
"233","Scomber_scombrus",0,0
"234","Sebastes",0,0
"235","Squalus_acanthias",0,0
"236","Tautogolabrus_adspersus",0,0
"237","Triglops_murrayi",0,19.33139535
"238","Urophycis_chuss",0,0
"239","Urophycis_tenuis",0,0
"240","Zoarces_americanus",0,0
"241","Alosa_pseudoharengus",0,0
"242","Amblyraja_radiata",0,0
"243","Argentina_silus",0,0
"244","Benthosema_glaciale",0,0
"245","Centroscyllium_fabricii",0,0
"246","Citharichthys_arctifrons",0,0
"247","Clupea_harengus",0.007385004,25.85227273
"248","Enchelyopus_cimbrius",0,0
"249","Glyptocephalus_cynoglossus",0.14847745,0
"250","Helicolenus_dactylopterus",0,0
"251","Hippoglossus_hippoglossus",0,0.994318182
"252","Leptoclinus_maculatus",0,31.81818182
"253","Leucoraja_erinacea",0,0
"254","Lophius_americanus",0,0
"255","Lumpenus_lampretaeformis",0.428220919,8.948863636
"256","Melanogrammus_aeglefinus",0,0
"257","Merluccius_albidus",0,0
"258","Merluccius_bilinearis",0,0
"259","Myoxocephalus_octodecemspinosus",0,0.994318182
"260","Notoscopelus_elongatus",0,0
"261","Phycis_chesteri",0,0
"262","Pollachius_virens",0,0
"263","Scomber_scombrus",0,0
"264","Sebastes",0.32315466,2.982954545
"265","Squalus_acanthias",0,0
"266","Tautogolabrus_adspersus",0,0
"267","Triglops_murrayi",0,0.994318182
"268","Urophycis_chuss",0,0
"269","Urophycis_tenuis",0,0
"270","Zoarces_americanus",0,0
"271","Alosa_pseudoharengus",0,0
"272","Amblyraja_radiata",0,0
"273","Argentina_silus",0,0
"274","Benthosema_glaciale",0,0
"275","Centroscyllium_fabricii",0,0
"276","Citharichthys_arctifrons",0,0
"277","Clupea_harengus",0,1.988636364
"278","Enchelyopus_cimbrius",0,0
"279","Glyptocephalus_cynoglossus",0,0
"280","Helicolenus_dactylopterus",0,0
"281","Hippoglossus_hippoglossus",0,0
"282","Leptoclinus_maculatus",0.336060005,5.965909091
"283","Leucoraja_erinacea",0,0
"284","Lophius_americanus",0,0
"285","Lumpenus_lampretaeformis",0.202570862,10.9375
"286","Melanogrammus_aeglefinus",0,0
"287","Merluccius_albidus",0,0
"288","Merluccius_bilinearis",0,0.994318182
"289","Myoxocephalus_octodecemspinosus",0,0
"290","Notoscopelus_elongatus",0,0
"291","Phycis_chesteri",0,0
"292","Pollachius_virens",0,0
"293","Scomber_scombrus",0,0
"294","Sebastes",0,0
"295","Squalus_acanthias",0,0
"296","Tautogolabrus_adspersus",0,0
"297","Triglops_murrayi",0,0
"298","Urophycis_chuss",0,0
"299","Urophycis_tenuis",0,0
"300","Zoarces_americanus",0,0
"301","Alosa_pseudoharengus",0,0
"302","Amblyraja_radiata",0,0
"303","Argentina_silus",0,0
"304","Benthosema_glaciale",0.106372483,0
"305","Centroscyllium_fabricii",0.017713799,11.06321839
"306","Citharichthys_arctifrons",0,0
"307","Clupea_harengus",0,0
"308","Enchelyopus_cimbrius",0,0
"309","Glyptocephalus_cynoglossus",0.021503206,3.017241379
"310","Helicolenus_dactylopterus",0,0
"311","Hippoglossus_hippoglossus",0,0
"312","Leptoclinus_maculatus",0,0
"313","Leucoraja_erinacea",0,0
"314","Lophius_americanus",0,0
"315","Lumpenus_lampretaeformis",0,0
"316","Melanogrammus_aeglefinus",0,0
"317","Merluccius_albidus",0,0
"318","Merluccius_bilinearis",0.000762366,3.017241379
"319","Myoxocephalus_octodecemspinosus",0,0
"320","Notoscopelus_elongatus",0,2.011494253
"321","Phycis_chesteri",0.059060944,2.011494253
"322","Pollachius_virens",0,4.022988506
"323","Scomber_scombrus",0,0
"324","Sebastes",0.794587201,4030.028736
"325","Squalus_acanthias",0,0
"326","Tautogolabrus_adspersus",0,0
"327","Triglops_murrayi",0,0
"328","Urophycis_chuss",0,0
"329","Urophycis_tenuis",0,4.022988506
"330","Zoarces_americanus",0,0
"331","Alosa_pseudoharengus",0,0
"332","Amblyraja_radiata",0,3.070175439
"333","Argentina_silus",0,0
"334","Benthosema_glaciale",0,0
"335","Centroscyllium_fabricii",0,0
"336","Citharichthys_arctifrons",0,0
"337","Clupea_harengus",0,177.0467836
"338","Enchelyopus_cimbrius",0.112270158,1.023391813
"339","Glyptocephalus_cynoglossus",0.086105965,7.16374269
"340","Helicolenus_dactylopterus",0,0
"341","Hippoglossus_hippoglossus",0,1.023391813
"342","Leptoclinus_maculatus",0,0
"343","Leucoraja_erinacea",0,0
"344","Lophius_americanus",0,0
"345","Lumpenus_lampretaeformis",0,0
"346","Melanogrammus_aeglefinus",0,0
"347","Merluccius_albidus",0,0
"348","Merluccius_bilinearis",0.101060269,2.046783626
"349","Myoxocephalus_octodecemspinosus",0,0
"350","Notoscopelus_elongatus",0,0
"351","Phycis_chesteri",0,0
"352","Pollachius_virens",0,0
"353","Scomber_scombrus",0.384351305,12.28070175
"354","Sebastes",0.191292095,228.2163743
"355","Squalus_acanthias",0,0
"356","Tautogolabrus_adspersus",0,0
"357","Triglops_murrayi",0,0
"358","Urophycis_chuss",0,0
"359","Urophycis_tenuis",0,12.28070175
"360","Zoarces_americanus",0,0
"361","Alosa_pseudoharengus",0,0
"362","Amblyraja_radiata",0,0.994318182
"363","Argentina_silus",0,0
"364","Benthosema_glaciale",0.03919241,0
"365","Centroscyllium_fabricii",0,0
"366","Citharichthys_arctifrons",0,0
"367","Clupea_harengus",0,0
"368","Enchelyopus_cimbrius",0.001331022,0
"369","Glyptocephalus_cynoglossus",0,16.90340909
"370","Helicolenus_dactylopterus",0,0
"371","Hippoglossus_hippoglossus",0,0
"372","Leptoclinus_maculatus",0,0
"373","Leucoraja_erinacea",0,0
"374","Lophius_americanus",0.005650653,0
"375","Lumpenus_lampretaeformis",0,0
"376","Melanogrammus_aeglefinus",0,0
"377","Merluccius_albidus",0,0
"378","Merluccius_bilinearis",0,0
"379","Myoxocephalus_octodecemspinosus",0,0
"380","Notoscopelus_elongatus",0,0
"381","Phycis_chesteri",0,0.994318182
"382","Pollachius_virens",0,0
"383","Scomber_scombrus",0,0
"384","Sebastes",0.940947502,103.4090909
"385","Squalus_acanthias",0,0
"386","Tautogolabrus_adspersus",0,0
"387","Triglops_murrayi",0,0
"388","Urophycis_chuss",0,0
"389","Urophycis_tenuis",0,0
"390","Zoarces_americanus",0,0
"391","Alosa_pseudoharengus",0,0
"392","Amblyraja_radiata",0,0
"393","Argentina_silus",0,0
"394","Benthosema_glaciale",0,0
"395","Centroscyllium_fabricii",0,0
"396","Citharichthys_arctifrons",0,0
"397","Clupea_harengus",0,14.08045977
"398","Enchelyopus_cimbrius",0,2.011494253
"399","Glyptocephalus_cynoglossus",0.337066906,375.1436782
"400","Helicolenus_dactylopterus",0,0
"401","Hippoglossus_hippoglossus",0.135122129,1.005747126
"402","Leptoclinus_maculatus",0,0
"403","Leucoraja_erinacea",0,0
"404","Lophius_americanus",0,0
"405","Lumpenus_lampretaeformis",0,0
"406","Melanogrammus_aeglefinus",0,0
"407","Merluccius_albidus",0,0
"408","Merluccius_bilinearis",0,12.06896552
"409","Myoxocephalus_octodecemspinosus",0,0
"410","Notoscopelus_elongatus",0,0
"411","Phycis_chesteri",0,0
"412","Pollachius_virens",0,0
"413","Scomber_scombrus",0,0
"414","Sebastes",0.104540024,33.18965517
"415","Squalus_acanthias",0,0
"416","Tautogolabrus_adspersus",0,0
"417","Triglops_murrayi",0,0
"418","Urophycis_chuss",0,0
"419","Urophycis_tenuis",0,4.022988506
"420","Zoarces_americanus",0,0
"421","Alosa_pseudoharengus",0,0
"422","Amblyraja_radiata",0,0
"423","Argentina_silus",0,0
"424","Benthosema_glaciale",0,0
"425","Centroscyllium_fabricii",0,0
"426","Citharichthys_arctifrons",0,0
"427","Clupea_harengus",0,95.57692308
"428","Enchelyopus_cimbrius",0,0
"429","Glyptocephalus_cynoglossus",0.184125192,49.80769231
"430","Helicolenus_dactylopterus",0,0
"431","Hippoglossus_hippoglossus",0,0
"432","Leptoclinus_maculatus",0,0
"433","Leucoraja_erinacea",0,0
"434","Lophius_americanus",0,0
"435","Lumpenus_lampretaeformis",0,0
"436","Melanogrammus_aeglefinus",0,5.384615385
"437","Merluccius_albidus",0,0
"438","Merluccius_bilinearis",0,0
"439","Myoxocephalus_octodecemspinosus",0,0
"440","Notoscopelus_elongatus",0,0
"441","Phycis_chesteri",0,0
"442","Pollachius_virens",0,0
"443","Scomber_scombrus",0,0
"444","Sebastes",0.415213358,126.5384615
"445","Squalus_acanthias",0,0
"446","Tautogolabrus_adspersus",0,0
"447","Triglops_murrayi",0,0
"448","Urophycis_chuss",0,0
"449","Urophycis_tenuis",0.072065822,0
"450","Zoarces_americanus",0,0
"451","Alosa_pseudoharengus",0,0
"452","Amblyraja_radiata",0.008854521,0
"453","Argentina_silus",0,0
"454","Benthosema_glaciale",0,0
"455","Centroscyllium_fabricii",0,0
"456","Citharichthys_arctifrons",0,0
"457","Clupea_harengus",0,0
"458","Enchelyopus_cimbrius",0,0
"459","Glyptocephalus_cynoglossus",0.0037126,1.43442623
"460","Helicolenus_dactylopterus",0,0
"461","Hippoglossus_hippoglossus",0,0
"462","Leptoclinus_maculatus",0,0
"463","Leucoraja_erinacea",0,0
"464","Lophius_americanus",0,0
"465","Lumpenus_lampretaeformis",0.007844306,0
"466","Melanogrammus_aeglefinus",0,0
"467","Merluccius_albidus",0,0
"468","Merluccius_bilinearis",0,0
"469","Myoxocephalus_octodecemspinosus",0,0
"470","Notoscopelus_elongatus",0,0
"471","Phycis_chesteri",0,0
"472","Pollachius_virens",0,0
"473","Scomber_scombrus",0,0
"474","Sebastes",0,0
"475","Squalus_acanthias",0,0
"476","Tautogolabrus_adspersus",0,0
"477","Triglops_murrayi",0,0
"478","Urophycis_chuss",0,0
"479","Urophycis_tenuis",0,0
"480","Zoarces_americanus",0,0
"481","Alosa_pseudoharengus",0,0
"482","Amblyraja_radiata",0.050197406,34.41011236
"483","Argentina_silus",0,0
"484","Benthosema_glaciale",0,0
"485","Centroscyllium_fabricii",0,0
"486","Citharichthys_arctifrons",0,0
"487","Clupea_harengus",0,0
"488","Enchelyopus_cimbrius",0,0
"489","Glyptocephalus_cynoglossus",0,6.882022472
"490","Helicolenus_dactylopterus",0,0
"491","Hippoglossus_hippoglossus",0,0
"492","Leptoclinus_maculatus",0,0
"493","Leucoraja_erinacea",0,0
"494","Lophius_americanus",0,0
"495","Lumpenus_lampretaeformis",0,0
"496","Melanogrammus_aeglefinus",0,0
"497","Merluccius_albidus",0,0
"498","Merluccius_bilinearis",0,0.983146067
"499","Myoxocephalus_octodecemspinosus",0,23.59550562
"500","Notoscopelus_elongatus",0,0
"501","Phycis_chesteri",0,0
"502","Pollachius_virens",0,0
"503","Scomber_scombrus",0,0
"504","Sebastes",0,0
"505","Squalus_acanthias",0,0
"506","Tautogolabrus_adspersus",0,0
"507","Triglops_murrayi",0,6.882022472
"508","Urophycis_chuss",0,0
"509","Urophycis_tenuis",0,0
"510","Zoarces_americanus",0,0
"511","Alosa_pseudoharengus",0,0
"512","Amblyraja_radiata",0,0
"513","Argentina_silus",0,0
"514","Benthosema_glaciale",0,0
"515","Centroscyllium_fabricii",0,0
"516","Citharichthys_arctifrons",0,0
"517","Clupea_harengus",0,1.206896552
"518","Enchelyopus_cimbrius",0,0
"519","Glyptocephalus_cynoglossus",0,0
"520","Helicolenus_dactylopterus",0,0
"521","Hippoglossus_hippoglossus",0,0
"522","Leptoclinus_maculatus",0,0
"523","Leucoraja_erinacea",0,0
"524","Lophius_americanus",0,0
"525","Lumpenus_lampretaeformis",0,0
"526","Melanogrammus_aeglefinus",0.160787635,100.1724138
"527","Merluccius_albidus",0,0
"528","Merluccius_bilinearis",0.000127038,13.27586207
"529","Myoxocephalus_octodecemspinosus",0,0
"530","Notoscopelus_elongatus",0,0
"531","Phycis_chesteri",0,0
"532","Pollachius_virens",0,76.03448276
"533","Scomber_scombrus",0,0
"534","Sebastes",0.193859835,2558.62069
"535","Squalus_acanthias",0,12.06896552
"536","Tautogolabrus_adspersus",0,0
"537","Triglops_murrayi",0,0
"538","Urophycis_chuss",0,0
"539","Urophycis_tenuis",0,0
"540","Zoarces_americanus",0,0
"541","Alosa_pseudoharengus",0,0
"542","Amblyraja_radiata",0,1
"543","Argentina_silus",0,0
"544","Benthosema_glaciale",0,0
"545","Centroscyllium_fabricii",0,0
"546","Citharichthys_arctifrons",0,0
"547","Clupea_harengus",0,8
"548","Enchelyopus_cimbrius",0,0
"549","Glyptocephalus_cynoglossus",0.074412646,55
"550","Helicolenus_dactylopterus",0,0
"551","Hippoglossus_hippoglossus",0,2
"552","Leptoclinus_maculatus",0,0
"553","Leucoraja_erinacea",0,0
"554","Lophius_americanus",0,3
"555","Lumpenus_lampretaeformis",0,0
"556","Melanogrammus_aeglefinus",0,119
"557","Merluccius_albidus",0,0
"558","Merluccius_bilinearis",0.791375019,90
"559","Myoxocephalus_octodecemspinosus",0,4
"560","Notoscopelus_elongatus",0,0
"561","Phycis_chesteri",0,0
"562","Pollachius_virens",0,0
"563","Scomber_scombrus",0,0
"564","Sebastes",0,0
"565","Squalus_acanthias",0,0
"566","Tautogolabrus_adspersus",0,0
"567","Triglops_murrayi",0,0
"568","Urophycis_chuss",0,0
"569","Urophycis_tenuis",0,0
"570","Zoarces_americanus",0,1
"571","Alosa_pseudoharengus",0.067768595,1.25
"572","Amblyraja_radiata",0,0
"573","Argentina_silus",0,0
"574","Benthosema_glaciale",0,0
"575","Centroscyllium_fabricii",0,0
"576","Citharichthys_arctifrons",0,0
"577","Clupea_harengus",0,1.25
"578","Enchelyopus_cimbrius",0,0
"579","Glyptocephalus_cynoglossus",0,6.25
"580","Helicolenus_dactylopterus",0,0
"581","Hippoglossus_hippoglossus",0,0
"582","Leptoclinus_maculatus",0,0
"583","Leucoraja_erinacea",0,0
"584","Lophius_americanus",0,1.25
"585","Lumpenus_lampretaeformis",0,0
"586","Melanogrammus_aeglefinus",0,22.5
"587","Merluccius_albidus",0.003305785,0
"588","Merluccius_bilinearis",0,138.75
"589","Myoxocephalus_octodecemspinosus",0.000826446,1.25
"590","Notoscopelus_elongatus",0,0
"591","Phycis_chesteri",0,0
"592","Pollachius_virens",0,178.75
"593","Scomber_scombrus",0,0
"594","Sebastes",0,108.75
"595","Squalus_acanthias",0,0
"596","Tautogolabrus_adspersus",0,0
"597","Triglops_murrayi",0,0
"598","Urophycis_chuss",0,13.75
"599","Urophycis_tenuis",0,10
"600","Zoarces_americanus",0,0
"601","Alosa_pseudoharengus",0,0
"602","Amblyraja_radiata",0,0
"603","Argentina_silus",0,0
"604","Benthosema_glaciale",0,0
"605","Centroscyllium_fabricii",0,0
"606","Citharichthys_arctifrons",0,1.944444444
"607","Clupea_harengus",0,0
"608","Enchelyopus_cimbrius",0,0
"609","Glyptocephalus_cynoglossus",0.045281314,0
"610","Helicolenus_dactylopterus",0,0
"611","Hippoglossus_hippoglossus",0,0
"612","Leptoclinus_maculatus",0,0
"613","Leucoraja_erinacea",0,0
"614","Lophius_americanus",0,0
"615","Lumpenus_lampretaeformis",0,0
"616","Melanogrammus_aeglefinus",0.066933913,36.94444444
"617","Merluccius_albidus",0,0
"618","Merluccius_bilinearis",0.536826356,30.13888889
"619","Myoxocephalus_octodecemspinosus",0,0
"620","Notoscopelus_elongatus",0,0
"621","Phycis_chesteri",0,0
"622","Pollachius_virens",0,0
"623","Scomber_scombrus",0,3.888888889
"624","Sebastes",0,0
"625","Squalus_acanthias",0,0
"626","Tautogolabrus_adspersus",0,0
"627","Triglops_murrayi",0,0
"628","Urophycis_chuss",0.20201564,6.805555556
"629","Urophycis_tenuis",0,0
"630","Zoarces_americanus",0,0
"631","Alosa_pseudoharengus",0,0
"632","Amblyraja_radiata",0,0
"633","Argentina_silus",0,0
"634","Benthosema_glaciale",0,0
"635","Centroscyllium_fabricii",0,0
"636","Citharichthys_arctifrons",0,0
"637","Clupea_harengus",0.029332639,0
"638","Enchelyopus_cimbrius",0,0
"639","Glyptocephalus_cynoglossus",0,0
"640","Helicolenus_dactylopterus",0,0
"641","Hippoglossus_hippoglossus",0,0
"642","Leptoclinus_maculatus",0,0
"643","Leucoraja_erinacea",0,0
"644","Lophius_americanus",0,0
"645","Lumpenus_lampretaeformis",0,0
"646","Melanogrammus_aeglefinus",0,49.41176471
"647","Merluccius_albidus",0,0
"648","Merluccius_bilinearis",0,9.264705882
"649","Myoxocephalus_octodecemspinosus",0,0
"650","Notoscopelus_elongatus",0,0
"651","Phycis_chesteri",0,0
"652","Pollachius_virens",0,0
"653","Scomber_scombrus",0,0
"654","Sebastes",0,0
"655","Squalus_acanthias",0,0
"656","Tautogolabrus_adspersus",0.502994012,1.029411765
"657","Triglops_murrayi",0,0
"658","Urophycis_chuss",0.467673349,0
"659","Urophycis_tenuis",0,0
"660","Zoarces_americanus",0,0
"661","Alosa_pseudoharengus",0,0
"662","Amblyraja_radiata",0,0
"663","Argentina_silus",0,0
"664","Benthosema_glaciale",0,0
"665","Centroscyllium_fabricii",0,0
"666","Citharichthys_arctifrons",0.372549479,22.96875
"667","Clupea_harengus",0,1.09375
"668","Enchelyopus_cimbrius",0,0
"669","Glyptocephalus_cynoglossus",0,2.1875
"670","Helicolenus_dactylopterus",0,0
"671","Hippoglossus_hippoglossus",0,1.09375
"672","Leptoclinus_maculatus",0,0
"673","Leucoraja_erinacea",0.085775554,1.09375
"674","Lophius_americanus",0,1.09375
"675","Lumpenus_lampretaeformis",0,0
"676","Melanogrammus_aeglefinus",0.153728073,120.3125
"677","Merluccius_albidus",0.001031182,0
"678","Merluccius_bilinearis",0,7.65625
"679","Myoxocephalus_octodecemspinosus",0.081896905,15.3125
"680","Notoscopelus_elongatus",0,0
"681","Phycis_chesteri",0,0
"682","Pollachius_virens",0,0
"683","Scomber_scombrus",0,0
"684","Sebastes",0,18.59375
"685","Squalus_acanthias",0,0
"686","Tautogolabrus_adspersus",0,0
"687","Triglops_murrayi",0,0
"688","Urophycis_chuss",0.185448623,2.1875
"689","Urophycis_tenuis",0,0
"690","Zoarces_americanus",0,0
"691","Alosa_pseudoharengus",0,0
"692","Amblyraja_radiata",0,0
"693","Argentina_silus",0,13.61111111
"694","Benthosema_glaciale",0,0
"695","Centroscyllium_fabricii",0,0
"696","Citharichthys_arctifrons",0,0
"697","Clupea_harengus",0,0
"698","Enchelyopus_cimbrius",0,0
"699","Glyptocephalus_cynoglossus",0,0.972222222
"700","Helicolenus_dactylopterus",0.011527994,535.6944444
"701","Hippoglossus_hippoglossus",0,0
"702","Leptoclinus_maculatus",0,0
"703","Leucoraja_erinacea",0,0
"704","Lophius_americanus",0,0
"705","Lumpenus_lampretaeformis",0,0
