"","Taxa","eDNA_16S","verts_wgt"
"52","Pollachius_virens",0,18.18607955
"53","Scomber_scombrus",0,1.561079545
"54","Sebastes",0,0.008948864
"55","Squalus_acanthias",0,0
"56","Tautogolabrus_adspersus",0,0
"57","Triglops_murrayi",0,0
"58","Urophycis_chuss",0,0
"59","Urophycis_tenuis",0,0
"60","Zoarces_americanus",0,0
"61","Alosa_pseudoharengus",0,0
"62","Amblyraja_radiata",0,0
"63","Argentina_silus",0,0.059
"64","Benthosema_glaciale",0,0
"65","Centroscyllium_fabricii",0,0
"66","Citharichthys_arctifrons",0,0
"67","Clupea_harengus",0,0.89
"68","Enchelyopus_cimbrius",0,0
"69","Glyptocephalus_cynoglossus",0,0
"70","Helicolenus_dactylopterus",0,0
"71","Hippoglossus_hippoglossus",0,3.36
"72","Leptoclinus_maculatus",0,0
"73","Leucoraja_erinacea",0,9.18
"74","Lophius_americanus",0,0
"75","Lumpenus_lampretaeformis",0,0
"76","Melanogrammus_aeglefinus",3249,26.848
"77","Merluccius_albidus",0,0
"78","Merluccius_bilinearis",0,7.16
"79","Myoxocephalus_octodecemspinosus",8754,3.552
"80","Notoscopelus_elongatus",0,0
"81","Phycis_chesteri",0,0
"82","Pollachius_virens",0,0.798
"83","Scomber_scombrus",0,0
"84","Sebastes",0,0
"85","Squalus_acanthias",0,0
"86","Tautogolabrus_adspersus",0,0
"87","Triglops_murrayi",0,0
"88","Urophycis_chuss",9803,4.81
"89","Urophycis_tenuis",0,0
"90","Zoarces_americanus",0,0.061
"91","Alosa_pseudoharengus",0,0
"92","Amblyraja_radiata",0,0
"93","Argentina_silus",0,0
"94","Benthosema_glaciale",0,0
"95","Centroscyllium_fabricii",0,0
"96","Citharichthys_arctifrons",0,0
"97","Clupea_harengus",8886,44.24281609
"98","Enchelyopus_cimbrius",0,0
"99","Glyptocephalus_cynoglossus",0,0
"100","Helicolenus_dactylopterus",0,0
"101","Hippoglossus_hippoglossus",0,0.225287356
"102","Leptoclinus_maculatus",0,0
"103","Leucoraja_erinacea",0,0
"104","Lophius_americanus",0,0
"105","Lumpenus_lampretaeformis",0,0
"106","Melanogrammus_aeglefinus",3965,22.21091954
"107","Merluccius_albidus",0,0
"108","Merluccius_bilinearis",0,0
"109","Myoxocephalus_octodecemspinosus",0,1.216954023
"110","Notoscopelus_elongatus",0,0
"111","Phycis_chesteri",0,0
"112","Pollachius_virens",0,0
"113","Scomber_scombrus",0,0
"114","Sebastes",2126,0
"115","Squalus_acanthias",0,0
"116","Tautogolabrus_adspersus",0,0
"117","Triglops_murrayi",0,0
"118","Urophycis_chuss",0,0
"119","Urophycis_tenuis",0,0
"120","Zoarces_americanus",0,0
"121","Alosa_pseudoharengus",0,0
"122","Amblyraja_radiata",0,0
"123","Argentina_silus",0,0
"124","Benthosema_glaciale",0,0
"125","Centroscyllium_fabricii",0,0
"126","Citharichthys_arctifrons",0,0
"127","Clupea_harengus",4436,1.938920455
"128","Enchelyopus_cimbrius",0,0
"129","Glyptocephalus_cynoglossus",0,0
"130","Helicolenus_dactylopterus",0,0
"131","Hippoglossus_hippoglossus",0,0
"132","Leptoclinus_maculatus",0,0
"133","Leucoraja_erinacea",0,0
"134","Lophius_americanus",0,0
"135","Lumpenus_lampretaeformis",0,0
"136","Melanogrammus_aeglefinus",0,0.006960227
"137","Merluccius_albidus",0,0
"138","Merluccius_bilinearis",0,0
"139","Myoxocephalus_octodecemspinosus",0,0
"140","Notoscopelus_elongatus",0,0
"141","Phycis_chesteri",0,0
"142","Pollachius_virens",0,0
"143","Scomber_scombrus",0,0
"144","Sebastes",0,0
"145","Squalus_acanthias",0,0
"146","Tautogolabrus_adspersus",0,0
"147","Triglops_murrayi",0,0
"148","Urophycis_chuss",0,0
"149","Urophycis_tenuis",0,0
"150","Zoarces_americanus",0,0
"151","Alosa_pseudoharengus",0,0
"152","Amblyraja_radiata",0,0
"153","Argentina_silus",0,0
"154","Benthosema_glaciale",0,0
"155","Centroscyllium_fabricii",0,0
"156","Citharichthys_arctifrons",0,0
"157","Clupea_harengus",0,1.15
"158","Enchelyopus_cimbrius",0,0.15
"159","Glyptocephalus_cynoglossus",5056,0.62
"160","Helicolenus_dactylopterus",0,0
"161","Hippoglossus_hippoglossus",0,0
"162","Leptoclinus_maculatus",0,0
"163","Leucoraja_erinacea",0,0
"164","Lophius_americanus",0,0
"165","Lumpenus_lampretaeformis",0,0
"166","Melanogrammus_aeglefinus",0,0
"167","Merluccius_albidus",0,0
"168","Merluccius_bilinearis",7147,6.25
"169","Myoxocephalus_octodecemspinosus",0,0
"170","Notoscopelus_elongatus",0,0
"171","Phycis_chesteri",0,0
"172","Pollachius_virens",0,0
"173","Scomber_scombrus",0,0
"174","Sebastes",0,0
"175","Squalus_acanthias",0,0
"176","Tautogolabrus_adspersus",0,0
"177","Triglops_murrayi",0,0
"178","Urophycis_chuss",0,0
"179","Urophycis_tenuis",0,1.01
"180","Zoarces_americanus",0,0
"181","Alosa_pseudoharengus",0,0
"182","Amblyraja_radiata",0,0
"183","Argentina_silus",0,0
"184","Benthosema_glaciale",0,0
"185","Centroscyllium_fabricii",0,0
"186","Citharichthys_arctifrons",0,0
"187","Clupea_harengus",0,2.24566474
"188","Enchelyopus_cimbrius",22531,0.068786127
"189","Glyptocephalus_cynoglossus",0,0.414739884
"190","Helicolenus_dactylopterus",0,0
"191","Hippoglossus_hippoglossus",0,0
"192","Leptoclinus_maculatus",0,0
"193","Leucoraja_erinacea",0,0
"194","Lophius_americanus",0,0
"195","Lumpenus_lampretaeformis",14952,0.075867052
"196","Melanogrammus_aeglefinus",0,0
"197","Merluccius_albidus",0,0
"198","Merluccius_bilinearis",0,0.194219653
"199","Myoxocephalus_octodecemspinosus",0,0
"200","Notoscopelus_elongatus",0,0
"201","Phycis_chesteri",0,0
"202","Pollachius_virens",0,0
"203","Scomber_scombrus",11756,0
"204","Sebastes",0,4.319364162
"205","Squalus_acanthias",0,0
"206","Tautogolabrus_adspersus",0,0
"207","Triglops_murrayi",0,0
"208","Urophycis_chuss",0,0
"209","Urophycis_tenuis",0,0
"210","Zoarces_americanus",0,0
"211","Alosa_pseudoharengus",0,0
"212","Amblyraja_radiata",0,0
"213","Argentina_silus",0,0
"214","Benthosema_glaciale",0,0
"215","Centroscyllium_fabricii",0,0
"216","Citharichthys_arctifrons",0,0
"217","Clupea_harengus",0,0
"218","Enchelyopus_cimbrius",0,0
"219","Glyptocephalus_cynoglossus",0,0
"220","Helicolenus_dactylopterus",0,0
"221","Hippoglossus_hippoglossus",0,0
"222","Leptoclinus_maculatus",0,0.022383721
"223","Leucoraja_erinacea",0,0
"224","Lophius_americanus",0,0
"225","Lumpenus_lampretaeformis",0,0
"226","Melanogrammus_aeglefinus",0,0
"227","Merluccius_albidus",0,0
"228","Merluccius_bilinearis",0,0
"229","Myoxocephalus_octodecemspinosus",0,0.225872093
"230","Notoscopelus_elongatus",0,0
"231","Phycis_chesteri",0,0
"232","Pollachius_virens",0,0
"233","Scomber_scombrus",0,0
"234","Sebastes",0,0
"235","Squalus_acanthias",0,0
"236","Tautogolabrus_adspersus",0,0
"237","Triglops_murrayi",0,0.179069767
"238","Urophycis_chuss",0,0
"239","Urophycis_tenuis",0,0
"240","Zoarces_americanus",0,0
"241","Alosa_pseudoharengus",0,0
"242","Amblyraja_radiata",0,0
"243","Argentina_silus",0,0
"244","Benthosema_glaciale",0,0
"245","Centroscyllium_fabricii",0,0
"246","Citharichthys_arctifrons",0,0
"247","Clupea_harengus",608,4.325284091
"248","Enchelyopus_cimbrius",0,0
"249","Glyptocephalus_cynoglossus",12224,0
"250","Helicolenus_dactylopterus",0,0
"251","Hippoglossus_hippoglossus",0,59.65909091
"252","Leptoclinus_maculatus",0,0.171022727
"253","Leucoraja_erinacea",0,0
"254","Lophius_americanus",0,0
"255","Lumpenus_lampretaeformis",35255,0.201846591
"256","Melanogrammus_aeglefinus",0,0
"257","Merluccius_albidus",0,0
"258","Merluccius_bilinearis",0,0
"259","Myoxocephalus_octodecemspinosus",0,0.114346591
"260","Notoscopelus_elongatus",0,0
"261","Phycis_chesteri",0,0
"262","Pollachius_virens",0,0
"263","Scomber_scombrus",0,0
"264","Sebastes",26605,0.050710227
"265","Squalus_acanthias",0,0
"266","Tautogolabrus_adspersus",0,0
"267","Triglops_murrayi",0,0.009943182
"268","Urophycis_chuss",0,0
"269","Urophycis_tenuis",0,0
"270","Zoarces_americanus",0,0
"271","Alosa_pseudoharengus",0,0
"272","Amblyraja_radiata",0,0
"273","Argentina_silus",0,0
"274","Benthosema_glaciale",0,0
"275","Centroscyllium_fabricii",0,0
"276","Citharichthys_arctifrons",0,0
"277","Clupea_harengus",0,0.491193182
"278","Enchelyopus_cimbrius",0,0
"279","Glyptocephalus_cynoglossus",0,0
"280","Helicolenus_dactylopterus",0,0
"281","Hippoglossus_hippoglossus",0,0
"282","Leptoclinus_maculatus",12366,0.031818182
"283","Leucoraja_erinacea",0,0
"284","Lophius_americanus",0,0
"285","Lumpenus_lampretaeformis",7454,0.316193182
"286","Melanogrammus_aeglefinus",0,0
"287","Merluccius_albidus",0,0
"288","Merluccius_bilinearis",0,0.181960227
"289","Myoxocephalus_octodecemspinosus",0,0
"290","Notoscopelus_elongatus",0,0
"291","Phycis_chesteri",0,0
"292","Pollachius_virens",0,0
"293","Scomber_scombrus",0,0
"294","Sebastes",0,0
"295","Squalus_acanthias",0,0
"296","Tautogolabrus_adspersus",0,0
"297","Triglops_murrayi",0,0
"298","Urophycis_chuss",0,0
"299","Urophycis_tenuis",0,0
"300","Zoarces_americanus",0,0
"301","Alosa_pseudoharengus",0,0
"302","Amblyraja_radiata",0,0
"303","Argentina_silus",0,0
"304","Benthosema_glaciale",4744,0
"305","Centroscyllium_fabricii",790,0.24841954
"306","Citharichthys_arctifrons",0,0
"307","Clupea_harengus",0,0
"308","Enchelyopus_cimbrius",0,0
"309","Glyptocephalus_cynoglossus",959,0.422413793
"310","Helicolenus_dactylopterus",0,0
"311","Hippoglossus_hippoglossus",0,0
"312","Leptoclinus_maculatus",0,0
"313","Leucoraja_erinacea",0,0
"314","Lophius_americanus",0,0
"315","Lumpenus_lampretaeformis",0,0
"316","Melanogrammus_aeglefinus",0,0
"317","Merluccius_albidus",0,0
"318","Merluccius_bilinearis",34,1.06408046
"319","Myoxocephalus_octodecemspinosus",0,0
"320","Notoscopelus_elongatus",0,0.032183908
"321","Phycis_chesteri",2634,0.414367816
"322","Pollachius_virens",0,5.481321839
"323","Scomber_scombrus",0,0
"324","Sebastes",35437,953.8908046
"325","Squalus_acanthias",0,0
"326","Tautogolabrus_adspersus",0,0
"327","Triglops_murrayi",0,0
"328","Urophycis_chuss",0,0
"329","Urophycis_tenuis",0,3.882183908
"330","Zoarces_americanus",0,0
"331","Alosa_pseudoharengus",0,0
"332","Amblyraja_radiata",0,1.111403509
"333","Argentina_silus",0,0
"334","Benthosema_glaciale",0,0
"335","Centroscyllium_fabricii",0,0
"336","Citharichthys_arctifrons",0,0
"337","Clupea_harengus",0,42.31725146
"338","Enchelyopus_cimbrius",14422,0.044005848
"339","Glyptocephalus_cynoglossus",11061,2.302631579
"340","Helicolenus_dactylopterus",0,0
"341","Hippoglossus_hippoglossus",0,9.425438596
"342","Leptoclinus_maculatus",0,0
"343","Leucoraja_erinacea",0,0
"344","Lophius_americanus",0,0
"345","Lumpenus_lampretaeformis",0,0
"346","Melanogrammus_aeglefinus",0,0
"347","Merluccius_albidus",0,0
"348","Merluccius_bilinearis",12982,0.523976608
"349","Myoxocephalus_octodecemspinosus",0,0
"350","Notoscopelus_elongatus",0,0
"351","Phycis_chesteri",0,0
"352","Pollachius_virens",0,0
"353","Scomber_scombrus",49373,0.018421053
"354","Sebastes",24573,69.91812865
"355","Squalus_acanthias",0,0
"356","Tautogolabrus_adspersus",0,0
"357","Triglops_murrayi",0,0
"358","Urophycis_chuss",0,0
"359","Urophycis_tenuis",0,4.144736842
"360","Zoarces_americanus",0,0
"361","Alosa_pseudoharengus",0,0
"362","Amblyraja_radiata",0,0.014914773
"363","Argentina_silus",0,0
"364","Benthosema_glaciale",25323,0
"365","Centroscyllium_fabricii",0,0
"366","Citharichthys_arctifrons",0,0
"367","Clupea_harengus",0,0
"368","Enchelyopus_cimbrius",860,0
"369","Glyptocephalus_cynoglossus",0,3.572585227
"370","Helicolenus_dactylopterus",0,0
"371","Hippoglossus_hippoglossus",0,0
"372","Leptoclinus_maculatus",0,0
"373","Leucoraja_erinacea",0,0
"374","Lophius_americanus",3651,0
"375","Lumpenus_lampretaeformis",0,0
"376","Melanogrammus_aeglefinus",0,0
"377","Merluccius_albidus",0,0
"378","Merluccius_bilinearis",0,0
"379","Myoxocephalus_octodecemspinosus",0,0
"380","Notoscopelus_elongatus",0,0
"381","Phycis_chesteri",0,0.0328125
"382","Pollachius_virens",0,0
"383","Scomber_scombrus",0,0
"384","Sebastes",607965,22.89914773
"385","Squalus_acanthias",0,0
"386","Tautogolabrus_adspersus",0,0
"387","Triglops_murrayi",0,0
"388","Urophycis_chuss",0,0
"389","Urophycis_tenuis",0,0
"390","Zoarces_americanus",0,0
"391","Alosa_pseudoharengus",0,0
"392","Amblyraja_radiata",0,0
"393","Argentina_silus",0,0
"394","Benthosema_glaciale",0,0
"395","Centroscyllium_fabricii",0,0
"396","Citharichthys_arctifrons",0,0
"397","Clupea_harengus",0,3.067528736
"398","Enchelyopus_cimbrius",0,0.049281609
"399","Glyptocephalus_cynoglossus",20313,88.60632184
"400","Helicolenus_dactylopterus",0,0
"401","Hippoglossus_hippoglossus",8143,4.364942529
"402","Leptoclinus_maculatus",0,0
"403","Leucoraja_erinacea",0,0
"404","Lophius_americanus",0,0
"405","Lumpenus_lampretaeformis",0,0
"406","Melanogrammus_aeglefinus",0,0
"407","Merluccius_albidus",0,0
"408","Merluccius_bilinearis",0,1.015804598
"409","Myoxocephalus_octodecemspinosus",0,0
"410","Notoscopelus_elongatus",0,0
"411","Phycis_chesteri",0,0
"412","Pollachius_virens",0,0
"413","Scomber_scombrus",0,0
"414","Sebastes",6300,8.900862069
"415","Squalus_acanthias",0,0
"416","Tautogolabrus_adspersus",0,0
"417","Triglops_murrayi",0,0
"418","Urophycis_chuss",0,0
"419","Urophycis_tenuis",0,1.005747126
"420","Zoarces_americanus",0,0
"421","Alosa_pseudoharengus",0,0
"422","Amblyraja_radiata",0,0
"423","Argentina_silus",0,0
"424","Benthosema_glaciale",0,0
"425","Centroscyllium_fabricii",0,0
"426","Citharichthys_arctifrons",0,0
"427","Clupea_harengus",0,25.06538462
"428","Enchelyopus_cimbrius",0,0
"429","Glyptocephalus_cynoglossus",11413,9.180769231
"430","Helicolenus_dactylopterus",0,0
"431","Hippoglossus_hippoglossus",0,0
"432","Leptoclinus_maculatus",0,0
"433","Leucoraja_erinacea",0,0
"434","Lophius_americanus",0,0
"435","Lumpenus_lampretaeformis",0,0
"436","Melanogrammus_aeglefinus",0,4.401923077
"437","Merluccius_albidus",0,0
"438","Merluccius_bilinearis",0,0
"439","Myoxocephalus_octodecemspinosus",0,0
"440","Notoscopelus_elongatus",0,0
"441","Phycis_chesteri",0,0
"442","Pollachius_virens",0,0
"443","Scomber_scombrus",0,0
"444","Sebastes",25737,23.16730769
"445","Squalus_acanthias",0,0
"446","Tautogolabrus_adspersus",0,0
"447","Triglops_murrayi",0,0
"448","Urophycis_chuss",0,0
"449","Urophycis_tenuis",4467,0
"450","Zoarces_americanus",0,0
"451","Alosa_pseudoharengus",0,0
"452","Amblyraja_radiata",7310,0
"453","Argentina_silus",0,0
"454","Benthosema_glaciale",0,0
"455","Centroscyllium_fabricii",0,0
"456","Citharichthys_arctifrons",0,0
"457","Clupea_harengus",0,0
"458","Enchelyopus_cimbrius",0,0
"459","Glyptocephalus_cynoglossus",3065,0.272540984
"460","Helicolenus_dactylopterus",0,0
"461","Hippoglossus_hippoglossus",0,0
"462","Leptoclinus_maculatus",0,0
"463","Leucoraja_erinacea",0,0
"464","Lophius_americanus",0,0
"465","Lumpenus_lampretaeformis",6476,0
"466","Melanogrammus_aeglefinus",0,0
"467","Merluccius_albidus",0,0
"468","Merluccius_bilinearis",0,0
"469","Myoxocephalus_octodecemspinosus",0,0
"470","Notoscopelus_elongatus",0,0
"471","Phycis_chesteri",0,0
"472","Pollachius_virens",0,0
"473","Scomber_scombrus",0,0
"474","Sebastes",0,0
"475","Squalus_acanthias",0,0
"476","Tautogolabrus_adspersus",0,0
"477","Triglops_murrayi",0,0
"478","Urophycis_chuss",0,0
"479","Urophycis_tenuis",0,0
"480","Zoarces_americanus",0,0
"481","Alosa_pseudoharengus",0,0
"482","Amblyraja_radiata",2670,5.859550562
"483","Argentina_silus",0,0
"484","Benthosema_glaciale",0,0
"485","Centroscyllium_fabricii",0,0
"486","Citharichthys_arctifrons",0,0
"487","Clupea_harengus",0,0
"488","Enchelyopus_cimbrius",0,0
"489","Glyptocephalus_cynoglossus",0,1.46488764
"490","Helicolenus_dactylopterus",0,0
"491","Hippoglossus_hippoglossus",0,0
"492","Leptoclinus_maculatus",0,0
"493","Leucoraja_erinacea",0,0
"494","Lophius_americanus",0,0
"495","Lumpenus_lampretaeformis",0,0
"496","Melanogrammus_aeglefinus",0,0
"497","Merluccius_albidus",0,0
"498","Merluccius_bilinearis",0,0.077668539
"499","Myoxocephalus_octodecemspinosus",0,9.251404494
"500","Notoscopelus_elongatus",0,0
"501","Phycis_chesteri",0,0
"502","Pollachius_virens",0,0
"503","Scomber_scombrus",0,0
"504","Sebastes",0,0
"505","Squalus_acanthias",0,0
"506","Tautogolabrus_adspersus",0,0
"507","Triglops_murrayi",0,0.042275281
"508","Urophycis_chuss",0,0
"509","Urophycis_tenuis",0,0
"510","Zoarces_americanus",0,0
"511","Alosa_pseudoharengus",0,0
"512","Amblyraja_radiata",0,0
"513","Argentina_silus",0,0
"514","Benthosema_glaciale",0,0
"515","Centroscyllium_fabricii",0,0
"516","Citharichthys_arctifrons",0,0
"517","Clupea_harengus",0,0.305344828
"518","Enchelyopus_cimbrius",0,0
"519","Glyptocephalus_cynoglossus",0,0
"520","Helicolenus_dactylopterus",0,0
"521","Hippoglossus_hippoglossus",0,0
"522","Leptoclinus_maculatus",0,0
"523","Leucoraja_erinacea",0,0
"524","Lophius_americanus",0,0
"525","Lumpenus_lampretaeformis",0,0
"526","Melanogrammus_aeglefinus",3797,113.4724138
"527","Merluccius_albidus",0,0
"528","Merluccius_bilinearis",3,4.272413793
"529","Myoxocephalus_octodecemspinosus",0,0
"530","Notoscopelus_elongatus",0,0
"531","Phycis_chesteri",0,0
"532","Pollachius_virens",0,121.3896552
"533","Scomber_scombrus",0,0
"534","Sebastes",4578,440.8913793
"535","Squalus_acanthias",0,18.27241379
"536","Tautogolabrus_adspersus",0,0
"537","Triglops_murrayi",0,0
"538","Urophycis_chuss",0,0
"539","Urophycis_tenuis",0,0
"540","Zoarces_americanus",0,0
"541","Alosa_pseudoharengus",0,0
"542","Amblyraja_radiata",0,0.59
"543","Argentina_silus",0,0
"544","Benthosema_glaciale",0,0
"545","Centroscyllium_fabricii",0,0
"546","Citharichthys_arctifrons",0,0
"547","Clupea_harengus",0,1.384
"548","Enchelyopus_cimbrius",0,0
"549","Glyptocephalus_cynoglossus",11152,6.83
"550","Helicolenus_dactylopterus",0,0
"551","Hippoglossus_hippoglossus",0,3.95
"552","Leptoclinus_maculatus",0,0
"553","Leucoraja_erinacea",0,0
"554","Lophius_americanus",0,9.63
"555","Lumpenus_lampretaeformis",0,0
"556","Melanogrammus_aeglefinus",0,47.74
"557","Merluccius_albidus",0,0
"558","Merluccius_bilinearis",118601,13.94
"559","Myoxocephalus_octodecemspinosus",0,1.385
"560","Notoscopelus_elongatus",0,0
"561","Phycis_chesteri",0,0
"562","Pollachius_virens",0,0
"563","Scomber_scombrus",0,0
"564","Sebastes",0,0
"565","Squalus_acanthias",0,0
"566","Tautogolabrus_adspersus",0,0
"567","Triglops_murrayi",0,0
"568","Urophycis_chuss",0,0
"569","Urophycis_tenuis",0,0
"570","Zoarces_americanus",0,0.008
"571","Alosa_pseudoharengus",82,0.1475
"572","Amblyraja_radiata",0,0
"573","Argentina_silus",0,0
"574","Benthosema_glaciale",0,0
"575","Centroscyllium_fabricii",0,0
"576","Citharichthys_arctifrons",0,0
"577","Clupea_harengus",0,0.2875
"578","Enchelyopus_cimbrius",0,0
"579","Glyptocephalus_cynoglossus",0,0.43
"580","Helicolenus_dactylopterus",0,0
"581","Hippoglossus_hippoglossus",0,0
"582","Leptoclinus_maculatus",0,0
"583","Leucoraja_erinacea",0,0
"584","Lophius_americanus",0,0.31375
"585","Lumpenus_lampretaeformis",0,0
"586","Melanogrammus_aeglefinus",0,9.05
"587","Merluccius_albidus",4,0
"588","Merluccius_bilinearis",0,15.925
"589","Myoxocephalus_octodecemspinosus",1,0.14125
"590","Notoscopelus_elongatus",0,0
"591","Phycis_chesteri",0,0
"592","Pollachius_virens",0,53.6
"593","Scomber_scombrus",0,0
"594","Sebastes",0,16.1
"595","Squalus_acanthias",0,0
"596","Tautogolabrus_adspersus",0,0
"597","Triglops_murrayi",0,0
"598","Urophycis_chuss",0,2.505
"599","Urophycis_tenuis",0,7.4125
"600","Zoarces_americanus",0,0
"601","Alosa_pseudoharengus",0,0
"602","Amblyraja_radiata",0,0
"603","Argentina_silus",0,0
"604","Benthosema_glaciale",0,0
"605","Centroscyllium_fabricii",0,0
"606","Citharichthys_arctifrons",0,0.010694444
"607","Clupea_harengus",0,0
"608","Enchelyopus_cimbrius",0,0
"609","Glyptocephalus_cynoglossus",1604,0
"610","Helicolenus_dactylopterus",0,0
"611","Hippoglossus_hippoglossus",0,0
"612","Leptoclinus_maculatus",0,0
"613","Leucoraja_erinacea",0,0
"614","Lophius_americanus",0,0
"615","Lumpenus_lampretaeformis",0,0
"616","Melanogrammus_aeglefinus",2371,12.74583333
"617","Merluccius_albidus",0,0
"618","Merluccius_bilinearis",19016,1.559444444
"619","Myoxocephalus_octodecemspinosus",0,0
"620","Notoscopelus_elongatus",0,0
"621","Phycis_chesteri",0,0
"622","Pollachius_virens",0,0
"623","Scomber_scombrus",0,0.565833333
"624","Sebastes",0,0
"625","Squalus_acanthias",0,0
"626","Tautogolabrus_adspersus",0,0
"627","Triglops_murrayi",0,0
"628","Urophycis_chuss",7156,1.293055556
"629","Urophycis_tenuis",0,0
"630","Zoarces_americanus",0,0
"631","Alosa_pseudoharengus",0,0
"632","Amblyraja_radiata",0,0
"633","Argentina_silus",0,0
"634","Benthosema_glaciale",0,0
"635","Centroscyllium_fabricii",0,0
"636","Citharichthys_arctifrons",0,0
"637","Clupea_harengus",338,0
"638","Enchelyopus_cimbrius",0,0
"639","Glyptocephalus_cynoglossus",0,0
"640","Helicolenus_dactylopterus",0,0
"641","Hippoglossus_hippoglossus",0,0
"642","Leptoclinus_maculatus",0,0
"643","Leucoraja_erinacea",0,0
"644","Lophius_americanus",0,0
"645","Lumpenus_lampretaeformis",0,0
"646","Melanogrammus_aeglefinus",0,17.96323529
"647","Merluccius_albidus",0,0
"648","Merluccius_bilinearis",0,0.776176471
"649","Myoxocephalus_octodecemspinosus",0,0
"650","Notoscopelus_elongatus",0,0
"651","Phycis_chesteri",0,0
"652","Pollachius_virens",0,0
"653","Scomber_scombrus",0,0
"654","Sebastes",0,0
"655","Squalus_acanthias",0,0
"656","Tautogolabrus_adspersus",5796,0.170882353
"657","Triglops_murrayi",0,0
"658","Urophycis_chuss",5389,0
"659","Urophycis_tenuis",0,0
"660","Zoarces_americanus",0,0
"661","Alosa_pseudoharengus",0,0
"662","Amblyraja_radiata",0,0
"663","Argentina_silus",0,0
"664","Benthosema_glaciale",0,0
"665","Centroscyllium_fabricii",0,0
"666","Citharichthys_arctifrons",31793,0.319375
"667","Clupea_harengus",0,0.18046875
"668","Enchelyopus_cimbrius",0,0
"669","Glyptocephalus_cynoglossus",0,0.39046875
"670","Helicolenus_dactylopterus",0,0
"671","Hippoglossus_hippoglossus",0,9.296875
"672","Leptoclinus_maculatus",0,0
"673","Leucoraja_erinacea",7320,0.844375
"674","Lophius_americanus",0,0.22859375
"675","Lumpenus_lampretaeformis",0,0
"676","Melanogrammus_aeglefinus",13119,35.21875
"677","Merluccius_albidus",88,0
"678","Merluccius_bilinearis",0,0.643125
"679","Myoxocephalus_octodecemspinosus",6989,2.3953125
"680","Notoscopelus_elongatus",0,0
"681","Phycis_chesteri",0,0
"682","Pollachius_virens",0,0
"683","Scomber_scombrus",0,0
"684","Sebastes",0,0.8071875
"685","Squalus_acanthias",0,0
"686","Tautogolabrus_adspersus",0,0
"687","Triglops_murrayi",0,0
"688","Urophycis_chuss",15826,0.04921875
"689","Urophycis_tenuis",0,0
"690","Zoarces_americanus",0,0
"691","Alosa_pseudoharengus",0,0
"692","Amblyraja_radiata",0,0
"693","Argentina_silus",0,4.443055556
"694","Benthosema_glaciale",0,0
"695","Centroscyllium_fabricii",0,0
"696","Citharichthys_arctifrons",0,0
"697","Clupea_harengus",0,0
"698","Enchelyopus_cimbrius",0,0
"699","Glyptocephalus_cynoglossus",0,0.178888889
"700","Helicolenus_dactylopterus",7976,55.98055556
"701","Hippoglossus_hippoglossus",0,0
"702","Leptoclinus_maculatus",0,0
"703","Leucoraja_erinacea",0,0
"704","Lophius_americanus",0,0
"705","Lumpenus_lampretaeformis",0,0
"706","Melanogrammus_aeglefinus",0,13.43611111
"707","Merluccius_albidus",453549,0.810833333
"708","Merluccius_bilinearis",134850,3.869444444
"709","Myoxocephalus_octodecemspinosus",0,0
"710","Notoscopelus_elongatus",3402,0
"711","Phycis_chesteri",0,0
"712","Pollachius_virens",0,1.485555556
