"","Taxa","EDNA20.474103","EDNA20.478993","EDNA20.478981","EDNA20.474014","EDNA20.474091","EDNA20.474086","EDNA20.478907","EDNA20.478851","EDNA20.478949","EDNA20.478941","EDNA20.478929","EDNA20.478985","EDNA20.478895","EDNA20.474043","EDNA20.478959","EDNA20.478954","EDNA20.478847","EDNA20.474099","EDNA20.478969","EDNA20.474198","EDNA20.474143","EDNA20.478989","EDNA20.474107","EDNA20.474079","EDNA20.474179","EDNA20.478997","EDNA20.478973","EDNA20.478977","EDNA20.474254","EDNA20.474001","EDNA20.478887","EDNA20.478655","EDNA20.478672","EDNA20.478685","EDNA20.478631","EDNA20.478618","EDNA20.478748","EDNA20.478752","EDNA20.474207","EDNA20.478677","EDNA20.478964","EDNA20.474237","EDNA20.478933","EDNA20.478745","EDNA20.478639","EDNA20.478689","EDNA20.478635","EDNA20.478706","EDNA20.474005","EDNA20.478867","EDNA20.474217","EDNA20.474148","EDNA20.474160","EDNA20.474175","EDNA20.478732","EDNA20_474001_2","EDNA20_474005_2","EDNA20_474014_2","EDNA20_474043_2","EDNA20_474079_2","EDNA20_474086_2","EDNA20_474091_2","EDNA20_474099_2","EDNA20_474103_2","EDNA20_474107_2","EDNA20_474143_2","EDNA20_474148_2","EDNA20_474160_2","EDNA20_474175_2","EDNA20_474179_2","EDNA20_474198_2","EDNA20_474207_2","EDNA20_474217_2","EDNA20_474237_2","EDNA20_478618_2","EDNA20_478631_2","EDNA20_478635_2","EDNA20_478639_2","EDNA20_478655_2","EDNA20_478672_2","EDNA20_478677_2","EDNA20_478685_2","EDNA20_478689_2","EDNA20_478706_2","EDNA20_478732_2","EDNA20_478745_2","EDNA20_478748_2","EDNA20_478752_2","EDNA20_478847_2","EDNA20_478851_2","EDNA20_478867_2","EDNA20_478887_2","EDNA20_478895_2","EDNA20_478907_2","EDNA20_478929_2","EDNA20_478933_2","EDNA20_478941_2","EDNA20_478949_2","EDNA20_478954_2","EDNA20_478959_2","EDNA20_478964_2","EDNA20_478969_2","EDNA20_478973_2","EDNA20_478977_2","EDNA20_478981_2","EDNA20_478985_2","EDNA20_478989_2","EDNA20_478993_2","EDNA20_478997_2"
"11","Hippoglossus hippoglossus",0,0,0,0,0,0,0.017641419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476532,0,0,0,0,0,0,0.524385424,0,0,0.098564603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135122129,0.018270652,0,0,4,1.005747126,0,0,0,0,0.994318182,0,0,1.023391813,0,1.005747126,0,0,0,0,2,0,0,0,1.09375,0,0,0,0,2,1.029411765,1.09375,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912568306,0,0,0,0,0
"12","Leptoclinus maculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336060005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.122093023,31.81818182,5.965909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Leucoraja erinacea",0,0.648134655,0.274693855,0,0,0,0,0,0,0,0,0.368300413,0,0,0,0,0,0,0,0,0,0.008214931,0,0,0,0,0.093212351,0.21375351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032846983,0.085775554,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09375,0,0,0,0,0,0,0,0,0,0,1.01744186,0,0,0,0,15.90909091,0,0,0,0,0,0,0,0,0,0,12.78089888,28,3.017241379,0,0.983146067
"14","Lophius americanus",0,0,0.114350746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025177944,0.024946345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005650653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.25,0,0,1.09375,0,1.944444444,1.029411765,1.944444444,0,2.058823529,0,0,0,0,3.052325581,0,0,0,2.011494253,0,2,0,0.972222222,0.983146067,0,0,0,0,0.951086957,0,0.983146067,1,0,0,0.983146067
"15","Lumpenus lampretaeformis",0.428220919,0,0,0,0.24842574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007844306,0,0,0.202570862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.034682081,0,8.948863636,10.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Melanogrammus aeglefinus",0,0,0.13752563,0.148220803,0,0,0,0,0,0,0,0,0,0.264739267,0,0,0,0,0,0,0,0,0,0,0,0.003861123,0.231195298,0,0,0,0,0,0,0,0.066933913,0,0,0,0,0.23006986,0,0,0,0,0.153728073,0,0,0,0,0,0.160787635,0,0,0,0.008122503,31,3.977272727,353,179.0229885,0.994318182,0,0,0,0,0,0,0,0,0,5.384615385,0,0,100.1724138,119,22.5,36.94444444,49.41176471,120.3125,14.58333333,6.805555556,1.029411765,6.805555556,33,122.5,219.84375,0,0,1.09375,11.19186047,170.0842697,14.16184971,0,84.48275862,8.948863636,8,16,9.722222222,16.71348315,18.20809249,1.988636364,13.07471264,393,1385.733696,805.1912568,576.1235955,9,8.045977011,265.4829545,1405.898876
"17","Merluccius albidus",0,0,0,0,0,0,0,0.013800425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655530359,0,0,0,0.003305785,0,0,0,0,0,0,0,0,0.001031182,0,0,0,0,0,0,0,0,0,0.011779422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Merluccius bilinearis",0,0,0.032956491,0,0,0.551210859,0.004793864,0,0,0,0,0.337625321,0,0,0,0.445260838,0.472433784,0,0,0,0.000762366,0.424707123,0,0,0,0,0.046449396,0.183918684,0,0.004402891,0,0.194903459,0.166874857,0.106266738,0.536826356,0,0.205596396,0,0,0.257730557,0,0.791375019,0.239218391,0.003856403,0,0.133523789,0,0.106275086,0.527338129,0.118814019,0.000127038,0.101060269,0,0,0.957708411,0,0,83,0,0,56,2.023121387,0,0,0.994318182,3.017241379,2.046783626,0,12.06896552,0,0,0.983146067,13.27586207,90,138.75,30.13888889,9.264705882,7.65625,27.22222222,18.47222222,237.7941176,115.6944444,5,11.32352941,5.46875,13.78787879,519.1666667,22.96875,32.55813953,0.983146067,184.1040462,293.0232558,84.48275862,221.7329545,265,216,42.77777778,14.74719101,431.9364162,24.85795455,2.011494253,522,6.657608696,3.825136612,21.62921348,80,26.14942529,0,0
"19","Myoxocephalus octodecemspinosus",0,0,0.104230545,0.399361314,0,0,0,0,0,0.000395257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007513271,0.03718094,0,0,0,0,0,0,0,0,0.000826446,0,0.07862977,0,0,0,0,0,0.004654055,0.081896905,0,0,0.055601347,0,0,0,0,0,0,0,0,0,46,9.051724138,0,0,0,1.01744186,0.994318182,0,0,0,0,0,0,0,23.59550562,0,4,1.25,0,0,15.3125,0,0,1.029411765,0.972222222,1,0,0,12.72727273,3.5,0,1.01744186,0,0,0,0,92.47159091,0,0,0,0,0,0,0,0,0.951086957,2.868852459,149.4382022,3,0,0,0
"20","Notoscopelus elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004917031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Phycis chesteri",0,0,0,0,0,0,0,0.001769285,0,0,0,0,0,0,0,0,0,0,0,0,0.059060944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011494253,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Pollachius virens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010370675,0,0,0,0,0,0,0,0,0,0,0.032504171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7.954545455,1,0,0,0,0,0,0,0,4.022988506,0,0,0,0,0,0,76.03448276,0,178.75,0,0,0,1.944444444,0,3.088235294,0,0,0,0,0,0,0,0,0,24.27745665,0,0,0,18,4,6.805555556,0,17.19653179,9.943181818,31.17816092,1,0.951086957,3.825136612,0,0,0,0,0
"23","Scomber scombrus",0,0,0,0,0.195324572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020005375,0,0,0,0,0,0.052217667,0,0,0,0,0,0,0.027167016,0,0,0,0.009070442,0,0,0,0,0,0,0,0.384351305,0,0,0,43,4.971590909,0,0,0,0,0,0,0,0,0,12.28070175,0,0,0,0,0,0,0,0,3.888888889,0,0,0,0,3.088235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Sebastes",0.32315466,0,0,0,0,0,0,0.504423213,0.663612485,0,0,0,0,0.141950992,0,0,0,0,0,0,0.794587201,0,0,0,0.415213358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070049271,0,0,0.304183908,0,0,0.12706253,0,0,0,0,0.193859835,0.191292095,0.940947502,0.104540024,0,0,0.994318182,0,0,0,0,16.1849711,0,2.982954545,0,4030.028736,228.2163743,103.4090909,33.18965517,126.5384615,0,0,2558.62069,0,108.75,0,0,18.59375,220.6944444,14.58333333,18.52941176,0,0,0,0,0,1.166666667,0,5.087209302,0,74.85549133,0,265.5172414,0,5,12,109.8611111,19.66292135,1.011560694,0.994318182,37.21264368,0,0,0,0,0,0,0,0
"25","Squalus acanthias",0,0,0.208762062,0,0,0,0,0.179936306,0.336387515,0.175889328,0.997332047,0,0,0,0.924718574,0.014186401,0.388768898,0,0.008956048,0,0,0.01336924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118969,0.005674151,0,0.172505747,0,0,0,0,0,0,0.881185981,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.6878613,0,0,0,0,6,15.55555556,20.64606742,10.11560694,1.988636364,45.25862069,0,4.755434783,6.693989071,233.988764,1,0,67.61363636,373.5955056
"26","Tautogolabrus adspersus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09394853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502994012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,22.95081967,0.983146067,0,0,0,0
"27","Triglops murrayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003255237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33139535,0.994318182,0,0,0,0,0,0,0,6.882022472,0,0,0,0,0,0,0,0,0,0,0,0,0,1.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.898876404,0,0,0,0
"28","Urophycis chuss",0,0,0,0.447217153,0,0,0,0,0,0,0,0.176875087,0,0,0.003283302,0,0,0,0,0,0,0.497682558,0,0,0,0,0,0.059214757,0,0,0.000449802,0.003523727,0,0,0.20201564,0,0,0,0,0,0,0,0,0,0.185448623,0,0.467673349,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,6.805555556,0,2.1875,0,12.63888889,12.35294118,13.61111111,0,3.088235294,0,0,0,0,9.156976744,0,9.104046243,11.19186047,1.005747126,108.3806818,18,22,1.944444444,0,2.023121387,2.982954545,0,43,0,0,0,4,5.028735632,0,0
"29","Urophycis tenuis",0,0,0.042850962,0,0,0,0.016682646,0,0,0,0,0.056546611,0,0,0,0,0,0,0,0,0,0,0,0,0.072065822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084678411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4.022988506,12.28070175,0,4.022988506,0,0,0,0,0,10,0,0,0,5.833333333,0,10.29411765,2.916666667,0,1.029411765,0,0,1.166666667,0,0,0,9.104046243,13.22674419,4.022988506,2.982954545,15,6,5.833333333,15.73033708,4.046242775,0,5.028735632,1,0,0,0.983146067,0,0,0,1.966292135
"30","Zoarces americanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087422244,0.086335901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.804347826,0,1.966292135,0,0,0,0
