Taxa	log_eDNA_16S	log_verts_wgt
Urophycis_chuss	1.326367899	0.360414577
Lumpenus_lampretaeformis	1.327503734	0.119319637
Merluccius_bilinearis	1.333641497	1.674907047
Squalus_acanthias	1.339972008	2.315534017
Clupea_harengus	1.362342933	0.111373273
Melanogrammus_aeglefinus	1.380337639	0.175580024
Melanogrammus_aeglefinus	1.382368837	2.447496349
Merluccius_bilinearis	1.396580088	1.111262514
Lumpenus_lampretaeformis	1.412335769	0.031758608
Merluccius_bilinearis	1.427697942	1.451786436
Melanogrammus_aeglefinus	1.438920735	1.365692346
Leucoraja_erinacea	1.454378093	0.978365199
Sebastes	1.497183937	0.657055853
Sebastes	1.522645892	0.021482959
Leptoclinus_maculatus	1.53915141	0.013603176
Squalus_acanthias	1.53956223	1.36804649
Glyptocephalus_cynoglossus	1.540413204	1.952338651
Merluccius_bilinearis	1.541111403	0.889861721
Leucoraja_erinacea	1.577836815	1.219846386
Citharichthys_arctifrons	1.582687615	0.120368251
Enchelyopus_cimbrius	1.584726821	0.028890808
Scomber_scombrus	1.595883282	0.007927369
Glyptocephalus_cynoglossus	1.601998022	0.209515015
Clupea_harengus	1.602483072	0.468187832
Myoxocephalus_octodecemspinosus	1.612106798	0.658202253
Sebastes	1.628606899	1.383228271
Merluccius_bilinearis	1.638196756	0.51494448
Lumpenus_lampretaeformis	1.641693105	0.079849036
Merluccius_bilinearis	1.658260293	1.430339813
Urophycis_chuss	1.660122515	0.764176132
Merluccius_bilinearis	1.683437713	0.39183741
Urophycis_chuss	1.705592243	0.315149646
Tautogolabrus_adspersus	1.710112296	0.068513261
Clupea_harengus	1.72126338	0.929702686
Hippoglossus_hippoglossus	1.727854604	0.910001505
Merluccius_bilinearis	1.737849439	0.408145707
Helicolenus_dactylopterus	1.73986166	0.891965847
Merluccius_bilinearis	1.749126066	0.860338007
Clupea_harengus	1.780540338	1.655549629
Merluccius_albidus	1.823167871	0.25787848
Sebastes	1.828410128	1.17654646
Merluccius_bilinearis	1.9038358	1.174350597
Sebastes	1.90557312	2.979953711
Squalus_acanthias	1.949968346	2.339100882
Squalus_acanthias	1.970680873	0.421379543
Sebastes	1.978156542	1.378382414
Merluccius_bilinearis	1.985744516	0.09783191
Enchelyopus_cimbrius	2.004127918	0.053558592
