Taxa,EDNA20_474001_2,EDNA20_474005_2,EDNA20_474014_2,EDNA20_474043_2,EDNA20_474079_2,EDNA20_474086_2,EDNA20_474091_2,EDNA20_474099_2,EDNA20_474103_2,EDNA20_474107_2,EDNA20_474143_2,EDNA20_474148_2,EDNA20_474160_2,EDNA20_474175_2,EDNA20_474179_2,EDNA20_474198_2,EDNA20_474207_2,EDNA20_474217_2,EDNA20_474237_2,EDNA20_478618_2,EDNA20_478631_2,EDNA20_478635_2,EDNA20_478639_2,EDNA20_478655_2,EDNA20_478672_2,EDNA20_478677_2,EDNA20_478685_2,EDNA20_478689_2,EDNA20_478706_2,EDNA20_478732_2,EDNA20_478745_2,EDNA20_478748_2,EDNA20_478752_2,EDNA20_478847_2,EDNA20_478851_2,EDNA20_478867_2,EDNA20_478887_2,EDNA20_478895_2,EDNA20_478907_2,EDNA20_478929_2,EDNA20_478933_2,EDNA20_478941_2,EDNA20_478949_2,EDNA20_478954_2,EDNA20_478959_2,EDNA20_478964_2,EDNA20_478969_2,EDNA20_478973_2,EDNA20_478977_2,EDNA20_478981_2,EDNA20_478985_2,EDNA20_478989_2,EDNA20_478993_2,EDNA20_478997_2
Centroscyllium fabricii,0,0,0,0,0,0,0,0,0,0,11.06321839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorophthalmus agassizi,0,21.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharichthys arctifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0,22.96875,0,0,1.029411765,2.916666667,0,0,0,0,0,0,1.01744186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.994318182,0
Clupea harengus,0,0,5,261.4942529,12.92613636,5,13.15028902,0,25.85227273,1.988636364,0,177.0467836,0,14.08045977,95.57692308,0,0,1.206896552,8,1.25,0,0,1.09375,0,0.972222222,19.55882353,38.88888889,133,0,0,4.242424242,57.16666667,287.65625,0,0,24.27745665,15.26162791,32.18390805,1.988636364,40,32,2.916666667,4.915730337,3.034682081,0,0,30,0.951086957,0,0,0,0,0,0
Dipturus laevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,0,0,0,0,0,0,0,0,0,0,0,1.005747126,0,3.804347826,0.956284153,11.79775281,3,0,0,0.983146067
Enchelyopus cimbrius,0,0,0,0,0,3,1.011560694,0,0,0,0,1.023391813,0,2.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.052325581,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadus morhua,1,0.994318182,0,0,1.988636364,1,1.011560694,1.01744186,5.965909091,0,0,20.46783626,0,5.028735632,6.730769231,2.868852459,0,10.86206897,0,0,0,0,5.46875,0,0,0,0,0,0,0,0,0,1.09375,0,0,0,0,6.034482759,1.988636364,0,0,0,0,0,0,0,0,3.804347826,22.95081967,6.882022472,0,0,0,0
Gaidropsarus ensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyptocephalus cynoglossus,0,0,0,0,0,8,3.034682081,0,0,0,3.017241379,7.16374269,16.90340909,375.1436782,49.80769231,1.43442623,6.882022472,0,55,6.25,0,0,2.1875,0.972222222,0.972222222,1.029411765,5.833333333,0,0,0,2.121212121,3.5,0,1.01744186,0,0,7.122093023,3.017241379,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0
Helicolenus dactylopterus,1,6.960227273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.6944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.888888889,0,35.40462428,167.0454545,18.10344828,0,0,0,0,0,0,0,0
Hemitripterus americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.61235955,0,0,0,0,0,1.09375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.011494253,37.78409091,0,0,0,0,0,0.994318182,0,0,0,1.912568306,9.831460674,0,0,0,0
Hippoglossina oblonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.034883721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983146067,8,1.005747126,1.988636364,0
Hippoglossoides platessoides,0,0,0,14.08045977,10.9375,0,21.24277457,185.1744186,118.3238636,261.5056818,0,14.32748538,0.994318182,87.5,33.65384615,30.12295082,19.66292135,0,13,1.25,0,0,1.09375,0,0,2.058823529,0,0,0,0,9.545454545,0,5.46875,0,0,0,1.01744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippoglossus hippoglossus,0,0,4,1.005747126,0,0,0,0,0.994318182,0,0,1.023391813,0,1.005747126,0,0,0,0,2,0,0,0,1.09375,0,0,0,0,2,1.029411765,1.09375,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912568306,0,0,0,0,0
Leptagonus decagonus,0,0,0,0,0,0,0,1.01744186,2.982954545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptoclinus maculatus,0,0,0,0,0,0,0,7.122093023,31.81818182,5.965909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucoraja g.,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.087209302,2.949438202,0,0,0,32.8125,0,0,0,0,0,0,0,0,0,0,8.848314607,41,0,0,0
Leucoraja erinacea,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09375,0,0,0,0,0,0,0,0,0,0,1.01744186,0,0,0,0,15.90909091,0,0,0,0,0,0,0,0,0,0,12.78089888,28,3.017241379,0,0.983146067
Leucoraja ocellata,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912568306,48.1741573,80,1.005747126,0,24.57865169
Limanda ferruginea,0,0,5,22.12643678,5.965909091,0,0,23.40116279,0.994318182,0,0,0,0,0,0,8.606557377,58.00561798,0,0,0,0,0,17.5,0,0,0,0,0,23.67647059,10.9375,3.181818182,0,0,4.069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,4.755434783,1.912568306,20.64606742,13,6.034482759,0,2.949438202
Liparis gibbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983146067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophius americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.25,0,0,1.09375,0,1.944444444,1.029411765,1.944444444,0,2.058823529,0,0,0,0,3.052325581,0,0,0,2.011494253,0,2,0,0.972222222,0.983146067,0,0,0,0,0.951086957,0,0.983146067,1,0,0,0.983146067
Lumpenus lampretaeformis,0,0,0,0,0,0,3.034682081,0,8.948863636,10.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycenchelys verrillii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycodes lavalaei,0,0,0,0,0,0,0,0,10.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycodes vahlii,0,0,0,0,0,1,1.011560694,0,0,0,0,4.093567251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycodichthys dearborni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malacoraja senta,0,0,0,1.005747126,0,0,0,0,0,0,0,1.023391813,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.011560694,3.052325581,1.005747126,0,9,7,0.972222222,0,0,0,6.034482759,0,0,0,0,0,0,0,0
Mallotus villosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurolicus muelleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanogrammus aeglefinus,31,3.977272727,353,179.0229885,0.994318182,0,0,0,0,0,0,0,0,0,5.384615385,0,0,100.1724138,119,22.5,36.94444444,49.41176471,120.3125,14.58333333,6.805555556,1.029411765,6.805555556,33,122.5,219.84375,0,0,1.09375,11.19186047,170.0842697,14.16184971,0,84.48275862,8.948863636,8,16,9.722222222,16.71348315,18.20809249,1.988636364,13.07471264,393,1385.733696,805.1912568,576.1235955,9,8.045977011,265.4829545,1405.898876
Merluccius albidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merluccius bilinearis,0,0,83,0,0,56,2.023121387,0,0,0.994318182,3.017241379,2.046783626,0,12.06896552,0,0,0.983146067,13.27586207,90,138.75,30.13888889,9.264705882,7.65625,27.22222222,18.47222222,237.7941176,115.6944444,5,11.32352941,5.46875,13.78787879,519.1666667,22.96875,32.55813953,0.983146067,184.1040462,293.0232558,84.48275862,221.7329545,265,216,42.77777778,14.74719101,431.9364162,24.85795455,2.011494253,522,6.657608696,3.825136612,21.62921348,80,26.14942529,0,0
Myctophidae f.,1,0,0,0,0,0,0,0,0,0,0,0,5.965909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.994318182,6.034482759,0,0,0,0,0,0,0,0
Myoxocephalus aenaeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.965909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myoxocephalus octodecemspinosus,0,0,46,9.051724138,0,0,0,1.01744186,0.994318182,0,0,0,0,0,0,0,23.59550562,0,4,1.25,0,0,15.3125,0,0,1.029411765,0.972222222,1,0,0,12.72727273,3.5,0,1.01744186,0,0,0,0,92.47159091,0,0,0,0,0,0,0,0,0.951086957,2.868852459,149.4382022,3,0,0,0
Myxine glutinosa,0,0,0,0,0,0,0,0,0,0,1.005747126,1.023391813,1.988636364,0,4.038461538,0,0,0,0,0,0,0,0,0,0.972222222,0,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.915730337,0,2.982954545,0,0,0,0,0,0,0,0,0
Nemichthys scolopaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983146067,0,0,0,0,0,0,0,0,0,0,0
Nezumia g.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.805555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nezumia bairdii,0,0,0,0,0,0,0,0,0,0,3.017241379,0,1.988636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,1.005747126,0,0,0,0,0,0,0,0
Notoscopelus elongatus,0,0,0,0,0,0,0,0,0,0,2.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraliparis calidus,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraliparis copei,0,0,0,0,0,0,0,0,0,0,1.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pentanemus quinquarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peprilus triacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972222222,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phycis chesteri,0,0,0,0,0,0,0,0,0,0,2.011494253,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollachius virens,22,7.954545455,1,0,0,0,0,0,0,0,4.022988506,0,0,0,0,0,0,76.03448276,0,178.75,0,0,0,1.944444444,0,3.088235294,0,0,0,0,0,0,0,0,0,24.27745665,0,0,0,18,4,6.805555556,0,17.19653179,9.943181818,31.17816092,1,0.951086957,3.825136612,0,0,0,0,0
Pseudopleuronectes americanus,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.058823529,0,0,0,0,6.104651163,0,0,0,0,64.63068182,0,0,0,0,0,0,0,0,0.951086957,6.693989071,20.64606742,1,0,0,0
Reinhardtius hippoglossoides,0,0,0,0,0,7,4.046242775,0,0,0,2.011494253,4.093567251,8.948863636,22.12643678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber scombrus,43,4.971590909,0,0,0,0,0,0,0,0,0,12.28070175,0,0,0,0,0,0,0,0,3.888888889,0,0,0,0,3.088235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scophthalmus aquosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.965909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastes g.,0,0.994318182,0,0,0,0,16.1849711,0,2.982954545,0,4030.028736,228.2163743,103.4090909,33.18965517,126.5384615,0,0,2558.62069,0,108.75,0,0,18.59375,220.6944444,14.58333333,18.52941176,0,0,0,0,0,1.166666667,0,5.087209302,0,74.85549133,0,265.5172414,0,5,12,109.8611111,19.66292135,1.011560694,0.994318182,37.21264368,0,0,0,0,0,0,0,0
Squalus acanthias,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.6878613,0,0,0,0,6,15.55555556,20.64606742,10.11560694,1.988636364,45.25862069,0,4.755434783,6.693989071,233.988764,1,0,67.61363636,373.5955056
Stomias boa,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphurus g.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus adspersus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,22.95081967,0.983146067,0,0,0,0
Triglops murrayi,0,0,0,0,0,0,0,19.33139535,0.994318182,0,0,0,0,0,0,0,6.882022472,0,0,0,0,0,0,0,0,0,0,0,0,0,1.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.898876404,0,0,0,0
Ulvaria subbifurcata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.948863636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urophycis chuss,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,6.805555556,0,2.1875,0,12.63888889,12.35294118,13.61111111,0,3.088235294,0,0,0,0,9.156976744,0,9.104046243,11.19186047,1.005747126,108.3806818,18,22,1.944444444,0,2.023121387,2.982954545,0,43,0,0,0,4,5.028735632,0,0
Urophycis tenuis,0,0,0,0,0,3,0,0,0,0,4.022988506,12.28070175,0,4.022988506,0,0,0,0,0,10,0,0,0,5.833333333,0,10.29411765,2.916666667,0,1.029411765,0,0,1.166666667,0,0,0,9.104046243,13.22674419,4.022988506,2.982954545,15,6,5.833333333,15.73033708,4.046242775,0,5.028735632,1,0,0,0.983146067,0,0,0,1.966292135
Zoarces americanus,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.804347826,0,1.966292135,0,0,0,0
