Taxa,EDNA20_474103,EDNA20_478993,EDNA20_478981,EDNA20_474014,EDNA20_474091,EDNA20_474086,EDNA20_478907,EDNA20_478851,EDNA20_478949,EDNA20_478941,EDNA20_478929,EDNA20_478985,EDNA20_478895,EDNA20_474043,EDNA20_478959,EDNA20_478954,EDNA20_478847,EDNA20_474099,EDNA20_478969,EDNA20_474198,EDNA20_474143,EDNA20_478989,EDNA20_474107,EDNA20_474079,EDNA20_474179,EDNA20_478997,EDNA20_478973,EDNA20_478977,EDNA20_474001,EDNA20_478887,EDNA20_478655,EDNA20_478672,EDNA20_478685,EDNA20_478631,EDNA20_478618,EDNA20_478748,EDNA20_478752,EDNA20_474207,EDNA20_478677,EDNA20_478964,EDNA20_474237,EDNA20_478933,EDNA20_478745,EDNA20_478639,EDNA20_478689,EDNA20_478635,EDNA20_478706,EDNA20_474005,EDNA20_478867,EDNA20_474217,EDNA20_474148,EDNA20_474160,EDNA20_474175,EDNA20_478732
Cetorhinus maximus,0,0,367,114,0,746,0,1696,0,2084,0,0,0,0,271,0,0,0,4468,0,0,0,2430,0,3873,0,0,0,0,0,0,13343,0,0,0,0,0,0,33092,9401,0,0,0,0,2038,0,0,0,0,0,0,0,0,0
Citharichthys arctifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31793,0,0,0,0,0,0,0,0,0,0
Clupea harengus,608,0,0,0,0,0,1149,0,0,0,94,0,7,8886,20,0,0,0,0,0,0,0,0,4436,0,0,0,1249,0,0,0,0,4820,0,0,237,94,0,0,0,0,0,0,0,4342,338,131,0,0,0,0,0,0,0
Cryptacanthodes giganteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6179,0,0,0,0,0,0,0,0,0,0,0,0
Dipturus batis,0,5191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9292,0,0,0,0,0,0,4212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipturus g.,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enchelyopus cimbrius,0,0,0,0,22531,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111,0,30973,0,0,0,0,14193,0,14792,0,0,0,0,0,0,0,0,0,0,0,14422,860,0,0
Gadus g.,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,16,21,10,0,0,0,0,0,0,0,7758,4063,121887,14011,0,0,0,70,0,0,20,0,8387,802,0,0,12814,0,0,0,7075,0,0,0,0,11713,0,0,0,0
Glyptocephalus cynoglossus,12224,0,0,0,0,5056,0,0,0,0,0,0,0,0,0,0,0,0,0,3065,959,0,0,0,11413,0,0,0,0,0,0,0,0,1604,0,2326,0,0,0,0,11152,0,0,0,0,0,0,0,0,0,11061,0,20313,0
Sigmops elongatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,0,0,0,0,0,0
Helicolenus dactylopterus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7976,0,0,0,0,0,0,0,2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippoglossoides platessoides,7637,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,275325,0,0,8357,0,8737,0,0,0,0,0,0,0,0,0,0,853,0,5596,0,0,0,0,0,114,0,0,5719,0,0,0,0,0,25508,2068
Hippoglossus hippoglossus,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3103,0,0,0,0,0,0,6634,0,0,60894,0,0,0,0,0,0,0,0,0,0,0,0,0,8143,9173
Lamna nasus,0,1628,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6306,0,0,0,0,0,0,2091,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptoclinus maculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lestidiops ringens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucoraja erinacea,0,17790,14603,0,0,0,0,0,0,0,0,18478,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,47861,13627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20178,7320,0,0,0,0,0,0,0,0,0,0
Liparis inquilinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophius americanus,0,0,6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17952,12809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3651,0,0
Lumpenus lampretaeformis,35255,0,0,0,14952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6476,0,0,7454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycenchelys kolthoffi,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malacoraja kreffti,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanogrammus aeglefinus,0,0,7311,3249,0,0,0,0,0,0,0,0,0,3965,0,0,0,0,0,0,0,0,0,0,0,2753,118710,0,0,0,0,0,0,2371,0,0,0,0,142139,0,0,0,0,13119,0,0,0,0,0,3797,0,0,0,4078
Merluccius albidus,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453549,0,0,0,4,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,5914
Merluccius bilinearis,0,0,1752,0,0,7147,25,0,0,0,0,16939,0,0,0,7878,8312,0,0,0,34,53147,0,0,0,0,23850,11725,2867,0,134850,9485,992,19016,0,2601,0,0,159228,0,118601,5203,2369,0,10002,0,5931,1466,4953,3,12982,0,0,480829
Myoxocephalus octodecemspinosus,0,0,5541,8754,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5357,19091,0,0,0,0,0,0,0,1,0,1935,0,0,0,0,0,2859,6989,0,0,3103,0,0,0,0,0,0,0
Notoscopelus elongatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus mykiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pholis gunnellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,0,0,0,0,0,0,0,30423,10334,3586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18011,0,0,0,0,0,0,0,0,0
Phycis chesteri,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,0,0,0,0,0,0,3695,0,0,0,0,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,5715,0,0,40924,0,0,0,16047,0,0,0
Pollachius virens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,0,0,0,0,0,0,0,0,0,3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionace glauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmo salar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber scombrus,0,0,0,0,11756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10272,0,0,0,0,2968,0,0,0,0,0,0,16784,0,0,0,5572,0,0,0,0,0,0,0,49373,0,0,0
Scomberesox saurus,0,0,0,0,10948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastes g.,26605,0,0,0,0,0,0,2851,10864,0,0,0,0,2126,0,0,0,0,0,0,35437,0,0,0,25737,0,0,0,0,0,0,0,0,0,0,0,0,0,43277,0,0,6616,0,0,9518,0,0,0,0,4578,24573,607965,6300,0
Squalus acanthias,0,0,11098,0,0,0,0,1017,5507,445,35139,0,0,0,3943,251,6840,0,227,0,0,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,534,0,3752,0,0,0,0,0,0,36734,0,0,0,0,0
Tautogolabrus adspersus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5796,0,0,0,0,0,0,0,0
Thunnus g.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20009,0,0,0,0,0,0,0,0,0
Triglops murrayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urophycis chuss,0,0,0,9803,0,0,0,0,0,0,0,8874,0,0,14,0,0,0,0,0,0,62279,0,0,0,0,0,3775,0,5,2438,0,0,7156,0,0,0,0,0,0,0,0,0,15826,0,5389,0,0,0,0,0,0,0,0
Urophycis tenuis,0,0,2278,0,0,0,87,0,0,0,0,2837,0,0,0,0,0,0,0,0,0,0,0,0,4467,0,0,0,0,0,0,0,0,0,0,0,0,0,52315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoarces americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44888,5504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
