Taxa,EDNA20_474103,EDNA20_478993,EDNA20_478981,EDNA20_474014,EDNA20_474091,EDNA20_474086,EDNA20_478907,EDNA20_478851,EDNA20_478949,EDNA20_478941,EDNA20_478929,EDNA20_478985,EDNA20_478895,EDNA20_474043,EDNA20_478959,EDNA20_478954,EDNA20_478847,EDNA20_474099,EDNA20_478969,EDNA20_474198,EDNA20_474143,EDNA20_478989,EDNA20_474107,EDNA20_474079,EDNA20_474179,EDNA20_478997,EDNA20_478973,EDNA20_478977,EDNA20_474001,EDNA20_478887,EDNA20_478655,EDNA20_478672,EDNA20_478685,EDNA20_478631,EDNA20_478618,EDNA20_478748,EDNA20_478752,EDNA20_474207,EDNA20_478677,EDNA20_478964,EDNA20_474237,EDNA20_478933,EDNA20_478745,EDNA20_478639,EDNA20_478689,EDNA20_478635,EDNA20_478706,EDNA20_474005,EDNA20_478867,EDNA20_474217,EDNA20_474148,EDNA20_474160,EDNA20_474175,EDNA20_478732
Cryptacanthodes giganteus,0,0,0,0,0,0.04248366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclothone microdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865800866,0,0,0,0,0,0
Enchelyopus cimbrius,0,0,0,0,0,0.284517974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251393978,0.019179635,0,0,0.127957932,0.108040619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027651564,0.059589413,0.072039312,0
Gadus g.,0,0,0,0,0,0,0,0,0,0,0,0,0.859422959,0,0,0,0,0,0,0,0,0,0,0,0,0.028646234,0.164515946,0.121696074,0,0,0,0,0,0,0,0,0.144498086,0,0,0,0.043466315,0,0,0,0.064582512,0,0,0,0,0,0.04037388,0,0,0
Gadus morhua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042692286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyptocephalus cynoglossus,0,0,0,0,0,0.26000817,0,0,0,0,0,0,0,0,0,0,0.024106067,0,0,0,0.083855651,0,0,0,0.544596013,0,0,0,0,0,0,0,0,0.094150281,0,0,0,0,0,0,0.068963622,0.226339691,0,0,0,0,0,0,0,0,0.077761911,0,0.415528256,0
Helicolenus dactylopterus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144638404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011468879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061331087,0,0,0,0,0
Hippoglossina oblonga,0,0.063481457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03219697,0,0,0,0,0,0.054815538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippoglossoides platessoides,0,0,0,0,0.239548346,0,0,0,0,0,0,0,0,0,0,0,0,0.048062636,0,0.284446252,0,0,0.621414914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016266823,0.034505208,0,0,0,0,0,0,0,0,0,0,0,0.037171665,0,0.168353808,0
Hippoglossus hippoglossus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100913985,0,0,0.197057292,0,0,0,0,0,0.009369937,0,0,0,0,0,0,0,0,0.012864494
Liparis gibbus,0,0,0,0,0.096905596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophius americanus,0,0,0.070490147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039356984,0,0,0,0.008470661,0,0,0,0,0.013524143,0,0,0,0,0,0,0,0,0,0,0,0,0.083215995,0,0,0,0,0,0,0,0,0,0
Lumpenus lampretaeformis,0.530090684,0,0,0,0.069677696,0.087826797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093562654,0
Lycenchelys kolthoffi,0,0,0,0,0,0,0,0,0,0,0.212342709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048463542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanogrammus g.,0,0,0.169698501,0,0,0,0,0,0.323446328,0.288888889,0,0,0,0,0,0,0,0,0.273290003,0,0,0,0,0,0,0,0.421806606,0.486784295,0.001510205,0,0.106899089,0,0,0,0.147160069,0,0,0,0.2078125,0,0.073304759,0.105358765,0,0.365953253,0,0.046176371,0,0,0,0.690045249,0,0,0,0.010440032
Merluccius albidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58448149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003512996
Merluccius bilinearis,0,0,0.13188479,0,0,0.128880719,0,0,0.149717514,0,0,0.352337514,0,0,0,0.507896924,0.475291282,0,0.260290932,0,0,0.299611973,0,0,0,0,0.090159741,0.045609875,0,0,0.044682957,0.316871117,0.083387821,0.235008567,0,0.171528734,0.085233894,0,0.156380208,0,0.715298384,0.17729337,0.006488793,0.050126725,0.069267481,0.044937493,0.103216339,0,0.140522325,0.092307692,0,0,0,0.964622642
Myoxocephalus octodecemspinosus,0,0,0,0.43153527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16360639,0.029569705,0,0,0,0,0,0,0,0,0.075412019,0,0,0,0,0,0.022040607,0,0,0,0,0,0,0,0,0,0,0
Nezumia bairdii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170087977,0,0,0,0,0,0.050522317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pholis gunnellus,0,0,0.024423109,0,0,0,0.130103806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049400261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033451552,0,0,0,0,0,0,0,0,0
Phycis chesteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055745489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111688916,0,0
Limanda ferruginea,0,0.070497828,0,0,0.008004002,0,0,0,0,0,0,0,0,0,0,0,0,0.04529089,0,0.01784583,0,0,0,0,0,0,0,0,0,0,0.018269011,0,0,0,0,0,0.142666889,0,0,0,0,0,0,0.106448888,0,0,0.279809221,0,0,0,0.156951837,0,0,0
Pollachius virens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366179002,0,0,0,0.086744792,0.758264463,0,0.105540418,0,0,0,0,0,0,0,0,0,0,0,0
Protomyctophum arcticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006647673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174242424,0,0,0,0,0,0,0,0.134199134,0,0,0,0,0,0
Pseudopleuronectes americanus,0,0,0,0,0,0,0.289965398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046575685,0,0,0,0,0,0,0,0,0,0,0.096734744,0,0,0,0,0,0,0
Salmo salar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03990172,0
Scomber scombrus,0,0,0,0,0.352604874,0.085988562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059557849,0,0,0,0,0,0,0,0,0,0,0.014739583,0,0,0,0,0,0,0,0,0,0,0,0.337660652,0,0,0
Scophthalmus aquosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118697259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastes fasciatus,0.058120363,0,0,0,0,0,0,0.559865093,0,0,0,0,0,0,0,0,0,0,0,0,0.7328585,0,0,0,0.364952781,0,0,0,0,0,0,0.287398439,0.02231812,0.110671453,0,0,0,0,0.022630208,0,0,0.2626703,0,0,0,0,0,0,0,0,0.141330218,0.624165632,0.045208845,0
Sebastes mentella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023504722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus adspersus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610091226,0,0,0,0,0,0,0,0
Thunnus thynnus,0,0,0.044719555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008192676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085781159,0,0,0,0,0,0,0.082008845,0,0,0,0,0,0,0,0,0
Urophycis chuss,0,0,0,0.56846473,0,0.018382353,0,0.260118044,0.153954802,0,0,0.269004181,0,0.039423007,0.370478983,0,0.204098031,0,0.32188177,0,0,0.521572432,0,0,0,0,0,0,0,0,0.014818198,0.12665286,0,0.452231378,0.17555938,0,0,0,0.025859375,0,0.04121332,0,0,0,0,0,0,0,0,0,0,0,0,0.008559836
Urophycis tenuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038694781,0,0,0,0,0,0,0,0.176119792,0,0,0,0,0,0,0,0,0,0,0,0.108702237,0.056542999,0,0
Zoarces americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centroscyllium fabricii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cetorhinus maximus,0,0,0,0,0,0,0,0,0,0.049494949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017683607,0,0,0.076592083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008593092,0,0,0,0,0
Lamna nasus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001133342,0,0.045180723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucoraja erinacea,0,0.379051119,0.015748695,0,0,0,0,0,0,0,0,0.196978335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06184981,0.029499965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006009755,0,0,0,0,0,0,0,0,0,0,0
Leucoraja ocellata,0,0.422318744,0.040003369,0,0,0,0,0,0,0,0,0.18167997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005968961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionace glauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153125,0,0.057753599,0,0,0,0,0,0,0,0,0,0,0,0,0
Raja radiata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021643737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028257389,0,0,0
Squalus acanthias,0,0,0.321963955,0,0,0,0,0.180016863,0.099152542,0.661616162,0.787657291,0,0,0,0.224177256,0.347464672,0.100843712,0,0.144537295,0,0,0.055663341,0,0,0,0,0,0,0,0.431034483,0,0,0,0,0,0,0,0,0,0.067493113,0,0.122797457,0,0,0,0,0,0,0.740859309,0,0,0,0,0
