"","Taxa","EDNA20_474103","EDNA20_478993","EDNA20_478981","EDNA20_474014","EDNA20_474091","EDNA20_474086","EDNA20_478907","EDNA20_478851","EDNA20_478949","EDNA20_478941","EDNA20_478929","EDNA20_478985","EDNA20_478895","EDNA20_474043","EDNA20_478959","EDNA20_478954","EDNA20_478847","EDNA20_474099","EDNA20_478969","EDNA20_474198","EDNA20_474143","EDNA20_478989","EDNA20_474107","EDNA20_474079","EDNA20_474179","EDNA20_478997","EDNA20_478973","EDNA20_478977","EDNA20_474001","EDNA20_478887","EDNA20_478655","EDNA20_478672","EDNA20_478685","EDNA20_478631","EDNA20_478618","EDNA20_478748","EDNA20_478752","EDNA20_474207","EDNA20_478677","EDNA20_478964","EDNA20_474237","EDNA20_478933","EDNA20_478745","EDNA20_478639","EDNA20_478689","EDNA20_478635","EDNA20_478706","EDNA20_474005","EDNA20_478867","EDNA20_474217","EDNA20_474148","EDNA20_474160","EDNA20_474175","EDNA20_478732","EDNA20_474001_2","EDNA20_474005_2","EDNA20_474014_2","EDNA20_474043_2","EDNA20_474079_2","EDNA20_474086_2","EDNA20_474091_2","EDNA20_474099_2","EDNA20_474103_2","EDNA20_474107_2","EDNA20_474143_2","EDNA20_474148_2","EDNA20_474160_2","EDNA20_474175_2","EDNA20_474179_2","EDNA20_474198_2","EDNA20_474207_2","EDNA20_474217_2","EDNA20_474237_2","EDNA20_478618_2","EDNA20_478631_2","EDNA20_478635_2","EDNA20_478639_2","EDNA20_478655_2","EDNA20_478672_2","EDNA20_478677_2","EDNA20_478685_2","EDNA20_478689_2","EDNA20_478706_2","EDNA20_478732_2","EDNA20_478745_2","EDNA20_478748_2","EDNA20_478752_2","EDNA20_478847_2","EDNA20_478851_2","EDNA20_478867_2","EDNA20_478887_2","EDNA20_478895_2","EDNA20_478907_2","EDNA20_478929_2","EDNA20_478933_2","EDNA20_478941_2","EDNA20_478949_2","EDNA20_478954_2","EDNA20_478959_2","EDNA20_478964_2","EDNA20_478969_2","EDNA20_478973_2","EDNA20_478977_2","EDNA20_478981_2","EDNA20_478985_2","EDNA20_478989_2","EDNA20_478993_2","EDNA20_478997_2"
"17","Melanogrammus aeglefinus",0,0,7311,3249,0,0,0,0,0,0,0,0,0,3965,0,0,0,0,0,0,0,0,0,0,0,2753,118710,0,0,0,0,0,0,2371,0,0,0,0,142139,0,0,0,0,13119,0,0,0,0,0,3797,0,0,0,4078,16.165,3.221590909,26.848,22.21091954,0.006960227,0,0,0,0,0,0,0,0,0,4.401923077,0,0,113.4724138,47.74,9.05,12.74583333,17.96323529,35.21875,13.43611111,4.501388889,0.498235294,1.821944444,5.975,30.32647059,60.090625,0,0,0.24609375,1.109011628,8.604494382,12.30057803,0,61.57183908,0.1859375,8.54,8.66,5.259722222,17.73595506,12.21965318,1.292613636,1.295402299,361.643,279.2182065,323.154235,199.9119382,0.094,1.186781609,5.649715909,19.81235955
"18","Merluccius albidus",0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453549,0,0,0,4,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810833333,0.739861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Merluccius bilinearis",0,0,1752,0,0,7147,25,0,0,0,0,16939,0,0,0,7878,8312,0,0,0,34,53147,0,0,0,0,23850,11725,2867,0,134850,9485,992,19016,0,2601,0,0,159228,0,118601,5203,2369,0,10002,0,5931,1466,4953,3,12982,0,0,480829,0,0,7.16,0,0,6.25,0.194219653,0,0,0.181960227,1.06408046,0.523976608,0,1.015804598,0,0,0.077668539,4.272413793,13.94,15.925,1.559444444,0.776176471,0.643125,3.869444444,2.197222222,27.3,7.729166667,0.552,1.811764706,0.25265625,0.982121212,46.305,2.2203125,1.465116279,0.018679775,8.729768786,10.55087209,3.514382184,7.636363636,13.35,11.92,2.206944444,0.816011236,25.93641618,2.724431818,0.221264368,28.3,0.551630435,0.493442623,2.91011236,6.76,2.272988506,0,0
"20","Myoxocephalus octodecemspinosus",0,0,5541,8754,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5357,19091,0,0,0,0,0,0,0,1,0,1935,0,0,0,0,0,2859,6989,0,0,3103,0,0,0,0,0,0,0,0,0,3.552,1.216954023,0,0,0,0.225872093,0.114346591,0,0,0,0,0,0,0,9.251404494,0,1.385,0.14125,0,0,2.3953125,0,0,0.144117647,0.119583333,0.128,0,0,1.130606061,0.333666667,0,0.010174419,0,0,0,0,7.258522727,0,0,0,0,0,0,0,0,0.243478261,0.420765027,27.23314607,0.395,0,0,0
"21","Notoscopelus elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Phycis chesteri",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414367816,0,0.0328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Pollachius virens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,0,0,0,0,0,0,0,0,0,3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.08,18.18607955,0.798,0,0,0,0,0,0,0,5.481321839,0,0,0,0,0,0,121.3896552,0,53.6,0,0,0,1.485555556,0,6.382352941,0,0,0,0,0,0,0,0,0,33.90751445,0,0,0,34.02,5.81,7.427777778,0,32.00578035,13.16477273,89.8433908,2.012,0.119836957,10.23224044,0,0,0,0,0
"24","Pseudopleuronectes americanus",0,0,0,0,0,0,3695,0,0,0,0,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,5715,0,0,40924,0,0,0,16047,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.265,0.432352941,0,0,0,0,3.215116279,0,0,0,0,20.95028409,0,0,0,0,0,0,0,0,1.122282609,6.005464481,15.39606742,0.95,0,0,0
"25","Scomber scombrus",0,0,0,0,11756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10272,0,0,0,0,2968,0,0,0,0,0,0,16784,0,0,0,5572,0,0,0,0,0,0,0,49373,0,0,0,10.88,1.561079545,0,0,0,0,0,0,0,0,0,0.018421053,0,0,0,0,0,0,0,0,0.565833333,0,0,0,0,0.627941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Sebastes g.",26605,0,0,0,0,0,0,2851,10864,0,0,0,0,2126,0,0,0,0,0,0,35437,0,0,0,25737,0,0,0,0,0,0,0,0,0,0,0,0,0,43277,0,0,6616,0,0,9518,0,0,0,0,4578,24573,607965,6300,0,0,0.008948864,0,0,0,0,4.319364162,0,0.050710227,0,953.8908046,69.91812865,22.89914773,8.900862069,23.16730769,0,0,440.8913793,0,16.1,0,0,0.8071875,74.10277778,4.783333333,2.645588235,0,0,0,0,0,0.067666667,0,0.01627907,0,20.63583815,0,81.26436782,0,1.46,3.54,48.20277778,14.01573034,0.137572254,0.013920455,21.22126437,0,0,0,0,0,0,0,0
"27","Squalus acanthias",0,0,11098,0,0,0,0,1017,5507,445,35139,0,0,0,3943,251,6840,0,227,0,0,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,534,0,3752,0,0,0,0,0,0,36734,0,0,0,0,0,22.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.27241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.3236994,0,0,0,0,11.35,30.95555556,22.33707865,11.82514451,1.638636364,52.03735632,0,15.35054348,18.47540984,205.7921348,0.82,0,23.93323864,238.2359551
"28","Tautogolabrus adspersus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509090909,0,0,0,0,0,0,0,0,0,10.42349727,0.054073034,0,0,0,0
"29","Triglops murrayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179069767,0.009943182,0,0,0,0,0,0,0,0.042275281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06488764,0,0,0,0
"30","Urophycis chuss",0,0,0,9803,0,0,0,0,0,0,0,8874,0,0,14,0,0,0,0,0,0,62279,0,0,0,0,0,3775,0,5,2438,0,0,7156,0,0,0,0,0,0,0,0,0,15826,0,5389,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.505,1.293055556,0,0.04921875,0,2.411111111,0.957352941,1.225,0,0.754558824,0,0,0,0,1.485465116,0,1.476878613,1.577034884,0.030172414,3.509943182,1.94,2.14,0.268333333,0,0.428901734,0.725852273,0,10.62,0,0,0,0.432,1.066091954,0,0
"31","Urophycis tenuis",0,0,2278,0,0,0,87,0,0,0,0,2837,0,0,0,0,0,0,0,0,0,0,0,0,4467,0,0,0,0,0,0,0,0,0,0,0,0,0,52315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,3.882183908,4.144736842,0,1.005747126,0,0,0,0,0,7.4125,0,0,0,9.352777778,0,3.788235294,1.378611111,0,0.254264706,0,0,0.232166667,0,0,0,15.11271676,3.184593023,0.752298851,0.924715909,34.59,15.3,14.71944444,11.06039326,9.033236994,0,12.29022989,1.494,0,0,0.360814607,0,0,0,0.963483146
"32","Zoarces americanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44888,5504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0.084411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.891304348,0,0.656741573,0,0,0,0
