"","Alosa pseudoharengus","Alosa sapidissima","Amblyraja radiata","Ammodytes dubius","Anarhichas lupus","Arctozenus risso","Argentina silus","Artediellus atlanticus","Ascidia","Aspidophoroides monopterygius","Benthosema glaciale","Boltenia","Centroscyllium fabricii","Chlorophthalmus agassizi","Citharichthys arctifrons","Clupea harengus","Dipturus laevis","Enchelyopus cimbrius","Gadus morhua","Gaidropsarus ensis","Glyptocephalus cynoglossus","Helicolenus dactylopterus","Hemitripterus americanus","Hippoglossina oblonga","Hippoglossoides platessoides","Hippoglossus hippoglossus","Leptagonus decagonus","Leptoclinus maculatus","Leucoraja","Leucoraja erinacea","Leucoraja ocellata","Limanda ferruginea","Liparis gibbus","Lophius americanus","Lumpenus lampretaeformis","Lycenchelys verrillii","Lycodes lavalaei","Lycodes vahlii","Lycodichthys dearborni","Malacoraja senta","Mallotus villosus","Maurolicus muelleri","Melanogrammus aeglefinus","Merluccius albidus","Merluccius bilinearis","Myctophidae","Myoxocephalus aenaeus","Myoxocephalus octodecemspinosus","Myxine glutinosa","Nemichthys scolopaceus","Nezumia","Nezumia bairdii","Notoscopelus elongatus","Paraliparis calidus","Paraliparis copei","Pentanemus quinquarius","Peprilus triacanthus","Phycis chesteri","Pollachius virens","Pseudopleuronectes americanus","Reinhardtius hippoglossoides","Scomber scombrus","Scophthalmus aquosus","Sebastes","Squalus acanthias","Stomias boa","Symphurus","Tautogolabrus adspersus","Triglops murrayi","Tunicata","Ulvaria subbifurcata","Urophycis chuss","Urophycis tenuis","Zoarces americanus"
"EDNA20-478732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2228125,NA,NA,NA,NA,NA,1.264375,NA,NA,NA,NA,NA,NA,NA,NA,0.035,NA,60.090625,NA,0.25265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478745",NA,NA,NA,0.862272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932272727272727,NA,NA,NA,NA,0.361666666666667,NA,NA,NA,0.299090909090909,NA,NA,NA,NA,NA,NA,0.101818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982121212121212,NA,NA,1.13060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00954545454545455,NA,NA,NA,NA,NA
"EDNA20-478748",NA,NA,NA,0.645166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.99833333333333,NA,NA,NA,NA,0.243833333333333,NA,NA,NA,NA,7.12833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.305,NA,NA,0.333666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0676666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.232166666666667,NA
"EDNA20-478752",NA,NA,NA,6.59640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5234375,NA,NA,0.1684375,NA,NA,NA,NA,NA,0.19140625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24609375,NA,2.2203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478847",NA,NA,NA,NA,NA,NA,NA,NA,0.0457848837209302,NA,NA,NA,NA,NA,0.0274709302325581,NA,4.04941860465116,NA,NA,NA,0.468023255813954,NA,NA,1.50581395348837,NA,NA,NA,NA,1.07848837209302,0.427325581395349,NA,0.620639534883721,NA,6.53197674418605,NA,NA,NA,NA,NA,NA,NA,NA,1.10901162790698,NA,1.46511627906977,NA,NA,0.0101744186046512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21511627906977,NA,NA,NA,0.0162790697674419,NA,NA,NA,NA,NA,NA,NA,1.48546511627907,NA,NA
"EDNA20-478851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755056179775281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.60449438202247,NA,0.0186797752808989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55202312138728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623121387283237,NA,NA,12.3005780346821,NA,8.72976878612717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9075144508671,NA,NA,NA,NA,20.635838150289,217.323699421965,NA,NA,NA,NA,NA,NA,1.47687861271676,15.1127167630058,NA
"EDNA20-478887",0.0651162790697674,0.270639534883721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198401162790698,NA,0.13125,NA,NA,2.38081395348837,NA,NA,NA,0.151598837209302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19651162790698,NA,NA,NA,NA,10.5508720930233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295058139534884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57703488372093,3.18459302325581,NA
"EDNA20-478895",5.3948275862069,3.48994252873563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51436781609195,NA,NA,6.14511494252874,NA,0.985632183908046,NA,1.33965517241379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03591954022989,NA,0.00603448275862069,NA,NA,NA,0.456609195402299,NA,NA,61.5718390804598,NA,3.51438218390805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.264367816092,NA,NA,NA,NA,NA,NA,NA,0.0301724137931034,0.752298850574713,NA
"EDNA20-478907",0.278409090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292329545454545,NA,NA,0.137215909090909,NA,NA,NA,18.0965909090909,NA,NA,NA,NA,NA,5.84659090909091,8.99857954545455,NA,NA,NA,NA,NA,NA,NA,NA,0.0556818181818182,NA,NA,NA,0.1859375,NA,7.63636363636364,NA,0.0318181818181818,7.25852272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9502840909091,NA,NA,0.747727272727273,NA,NA,NA,NA,0.509090909090909,NA,NA,0.101420454545455,3.50994318181818,0.924715909090909,NA
"EDNA20-478929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04,NA,0.011,NA,NA,NA,1.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746,NA,NA,NA,NA,NA,1.59,NA,NA,8.54,NA,13.35,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.02,NA,NA,NA,NA,1.46,NA,NA,NA,NA,NA,NA,NA,1.94,34.59,NA
"EDNA20-478933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932,NA,NA,8.66,NA,11.92,NA,NA,NA,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.81,NA,NA,NA,NA,3.54,11.35,NA,NA,NA,NA,NA,NA,2.14,15.3,NA
"EDNA20-478941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554166666666667,NA,NA,NA,NA,NA,1.18416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.375,NA,NA,NA,NA,NA,0.3325,NA,NA,5.25972222222222,NA,2.20694444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42777777777778,NA,NA,NA,NA,48.2027777777778,30.9555555555556,NA,NA,NA,NA,NA,NA,0.268333333333333,14.7194444444444,NA
"EDNA20-478949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29775280898876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03792134831461,NA,NA,NA,NA,NA,NA,NA,NA,17.7359550561798,NA,0.816011235955056,NA,NA,NA,0.300842696629213,0.0176966292134831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0157303370787,22.3370786516854,NA,NA,NA,NA,NA,NA,NA,11.060393258427,NA
"EDNA20-478954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586705202312139,NA,NA,NA,NA,NA,6.79768786127168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2196531791908,NA,25.9364161849711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0057803468208,NA,NA,NA,NA,0.13757225433526,11.8251445086705,NA,NA,NA,NA,NA,NA,0.428901734104046,9.03323699421965,NA
"EDNA20-478959",NA,NA,NA,NA,NA,NA,0.797443181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427556818181818,78.0440340909091,1.32443181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29261363636364,NA,2.72443181818182,0.000994318181818182,NA,NA,0.109375,NA,NA,0.0666193181818182,NA,NA,NA,NA,NA,NA,13.1647727272727,NA,NA,NA,NA,0.0139204545454545,1.63863636363636,NA,NA,NA,NA,NA,NA,0.725852272727273,NA,NA
"EDNA20-478964",NA,NA,6.1551724137931,NA,NA,NA,0.279597701149425,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16954022988506,NA,NA,NA,NA,11.7370689655172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,1.29540229885057,NA,0.221264367816092,0.0120689655172414,NA,NA,NA,NA,NA,0.116666666666667,NA,NA,NA,NA,NA,NA,89.8433908045977,NA,NA,NA,NA,21.2212643678161,52.0373563218391,NA,NA,NA,NA,NA,NA,NA,12.2902298850575,NA
"EDNA20-478969",NA,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361.643,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.62,1.494,NA
"EDNA20-478973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116032608695652,21.9130434782609,NA,4.33695652173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4741847826087,NA,2.60597826086956,NA,NA,NA,NA,NA,NA,NA,NA,279.218206521739,NA,0.551630434782609,NA,NA,0.243478260869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119836956521739,1.12228260869565,NA,NA,NA,NA,15.3505434782609,NA,NA,NA,NA,NA,NA,NA,NA,2.89130434782609
"EDNA20-478977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35409836065574,NA,46.2267759562842,NA,NA,NA,1.77868852459016,NA,NA,3.93032786885246,NA,NA,NA,NA,4.86748633879781,0.545081967213115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.154234972678,NA,0.49344262295082,NA,NA,0.420765027322404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2322404371585,6.00546448087432,NA,NA,NA,NA,18.4754098360656,NA,NA,10.4234972677596,NA,0.150136612021858,NA,NA,NA,NA
"EDNA20-478981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140589887640449,NA,NA,NA,NA,13.9410112359551,NA,14.2162921348315,NA,NA,NA,14.6292134831461,0.145505617977528,NA,NA,NA,NA,3.12640449438202,8.51404494382023,177.143258426966,5.68258426966292,NA,2.71348314606742,NA,NA,NA,NA,NA,NA,NA,NA,199.911938202247,NA,2.91011235955056,NA,NA,27.2331460674157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3960674157303,NA,NA,NA,NA,205.792134831461,NA,NA,0.0540730337078652,0.0648876404494382,NA,NA,NA,0.360814606741573,0.656741573033708
"EDNA20-478985",NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,0.052,NA,NA,NA,NA,1.78,NA,NA,NA,NA,NA,NA,2.41,NA,NA,NA,NA,11.55,15.59,121.57,3.98,NA,2.54,NA,NA,NA,NA,NA,NA,NA,NA,0.094,NA,6.76,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,0.432,NA,NA
"EDNA20-478989",NA,NA,NA,0.0100574712643678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,1.48850574712644,3.35919540229885,1.45833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1867816091954,NA,2.27298850574713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06609195402299,NA,NA
"EDNA20-478993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00596590909090909,NA,NA,NA,NA,NA,NA,NA,NA,0.421590909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64971590909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9332386363636,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478997",NA,NA,NA,0.631179775280899,NA,NA,NA,NA,NA,NA,NA,0.0658707865168539,NA,NA,NA,NA,2.30056179775281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79438202247191,105.314606741573,1.0814606741573,NA,4.38483146067416,NA,NA,NA,NA,NA,NA,NA,NA,19.8123595505618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.23595505618,NA,NA,NA,NA,0.0373595505617978,NA,NA,0.963483146067416,NA
"EDNA20-474001",NA,NA,NA,0.117,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,0.769,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.165,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.08,NA,NA,10.88,NA,NA,22.96,NA,NA,NA,NA,NA,NA,NA,NA,1.222
"EDNA20-474005",NA,NA,1.95880681818182,0.0845170454545455,NA,NA,0.39375,NA,NA,NA,NA,NA,NA,0.204829545454545,NA,NA,NA,NA,1.82755681818182,NA,NA,0.0815340909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22159090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1860795454545,NA,NA,1.56107954545455,NA,0.00894886363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-474014",NA,NA,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36,NA,NA,5.89,9.18,2.04,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.848,NA,7.16,NA,NA,3.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.798,4.23,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,4.81,NA,0.061
"EDNA20-474043",NA,NA,NA,NA,0.386206896551724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.242816091954,NA,NA,NA,NA,NA,NA,NA,NA,1.4683908045977,0.225287356321839,NA,NA,NA,NA,NA,2.56465517241379,NA,NA,NA,NA,NA,NA,NA,0.354022988505747,NA,NA,22.2109195402299,NA,NA,NA,NA,1.21695402298851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-474079",NA,NA,NA,1.60880681818182,NA,NA,NA,NA,0.0169034090909091,NA,NA,NA,NA,NA,NA,1.93892045454545,NA,NA,0.407670454545454,NA,NA,NA,NA,NA,0.586647727272727,NA,NA,NA,NA,NA,NA,0.574715909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00696022727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-474086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,0.15,1.244,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,NA,NA,NA,NA,NA,NA,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.746,NA,NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,1.01,NA
"EDNA20-474091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24566473988439,NA,0.0687861271676301,0.546242774566474,NA,0.414739884393064,NA,NA,NA,2.10404624277457,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0758670520231214,NA,NA,0.0283236994219653,NA,NA,NA,NA,NA,NA,0.194219653179191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63728323699422,NA,NA,4.31936416184971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-474099",NA,NA,NA,15.2962209302326,NA,NA,NA,0.0122093023255814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115988372093023,NA,NA,NA,NA,NA,10.2079941860465,NA,0.0213662790697674,0.0223837209302326,NA,NA,NA,1.47529069767442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225872093023256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17906976744186,NA,NA,NA,NA,NA
"EDNA20-474103",NA,NA,NA,0.0238636363636364,0.882954545454545,NA,NA,0.0109375,NA,0.000994318181818182,NA,0.0536931818181818,NA,NA,NA,4.32528409090909,NA,NA,1.40198863636364,NA,NA,NA,NA,NA,2.66477272727273,59.6590909090909,0.0725852272727273,0.171022727272727,NA,NA,NA,0.0775568181818182,NA,NA,0.201846590909091,NA,0.576704545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114346590909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0507102272727273,NA,NA,NA,NA,0.00994318181818182,NA,NA,NA,NA,NA
"EDNA20-474107",NA,NA,NA,0.264488636363636,NA,NA,NA,NA,NA,NA,NA,0.0328125,NA,NA,NA,0.491193181818182,NA,NA,NA,NA,NA,NA,NA,NA,6.09517045454545,NA,NA,0.0318181818181818,NA,NA,NA,NA,NA,NA,0.316193181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181960227272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
