MISSION, SETNO, SLAT, SLONG, ELAT, ELONG, SURFACE_TEMPERATURE, BOTTOM_TEMPERATURE, BOTTOM_SALINITY, HYDRO, SPEC, TOTWGT, COMM, SPEC_1
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,8216,0.124,ACTINOSTOLA SPP. ,ACTINOSTOLA SPP. 
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,8386,0.004,NEPHTHEIDAE F.,NEPHTHEIDAE F.
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,8500,0.018,JELLYFISHES,SCYPHOZOA C.
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,11,0.751,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,13,0.401,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,14,20.3,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,23,2.87,REDFISH UNSEPARATED,SEBASTES SP.
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,400,2.31,MONKFISH,GOOSEFISH
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,640,0.033,OCEAN POUT,ZOARCES AMERICANUS
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,2212,0.003,PANDALUS MONTAGUI,PANDALUS MONTAGUI
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,2214,0.111,DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,2312,0.001,LEBBEUS POLARIS,LEBBEUS POLARIS
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,2415,0.001,PONTOPHILUS NORVEGICUS,PONTOPHILUS NORVEGICUS
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,2511,0.091,JONAH CRAB,CANCER BOREALIS
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,2600,0.104,KRILL SHRIMP,EUPHAUSIACEA O.
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,3100,0.001,BRISTLE WORMS,POLYCHAETA C.
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,4400,0.001,SEA SLUGS,NUDIBRANCHIA O.
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,4511,8.99,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,4536,0.001,BOBTAIL SQUID,SEPIOLODAE F.
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,6118,0.034,BLOOD STAR (GENUS),HENRICIA SP.
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,8100,0.039,COMB JELLIES,CTENOPHORA P.
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,8367,0.005,PENNATULA ACULEATA,PENNATULA ACULEATA
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,8500,0.09,JELLYFISHES,SCYPHOZOA C.
NED2020025,3,4401.48,6257.02,4400.09,6258.39,15.1,10.6,35.17,478622,8600,0.003,SPONGES,PORIFERA P.
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,11,2.42,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,13,0.98,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,14,15.59,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,23,134.946,REDFISH UNSEPARATED,SEBASTES SP.
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,44,0.033,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,114,0.011,FOURBEARD ROCKLING,ENCHELYOPUS CIMBRIUS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,200,8.56,BARNDOOR SKATE,DIPTURUS LAEVIS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,2212,0.028,PANDALUS MONTAGUI,PANDALUS MONTAGUI
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,2214,0.528,DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,2415,0.002,PONTOPHILUS NORVEGICUS,PONTOPHILUS NORVEGICUS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,2513,0.0001,ATLANTIC ROCK CRAB,CANCER IRRORATUS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,2611,0.001,Northern Krill,MEGANYCTIPHANES NORVEGICA
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,4511,2.636,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,4536,0.039,BOBTAIL SQUID,SEPIOLODAE F.
NED2020025,4,4333.92,6309.02,4335.41,6307.53,15.3,10.5,35.16,478626,8600,0.006,SPONGES,PORIFERA P.
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,11,13.11,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,13,1.33,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,14,1.604,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,44,0.011,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,70,0.582,MACKEREL(ATLANTIC),SCOMBER SCOMBRUS
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,701,0.117,BUTTERFISH,PEPRILUS TRIACANTHUS
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,2511,0.573,JONAH CRAB,CANCER BOREALIS
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,2550,3.54,AMERICAN LOBSTER,HOMARUS AMERICANUS
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,4511,4.668,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,4536,0.013,BOBTAIL SQUID,SEPIOLODAE F.
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,6106,0.092,SCLERASTERIAS TANNERI,SCLERASTERIAS TANNERI
NED2020025,5,4323.6,6306.12,4325.2,6305.11,14.4,10.8,34.94,478631,8100,0.003,COMB JELLIES,CTENOPHORA P.
NED2020025,6,4323.37,6248.18,4323.47,6245.85,14.5,8.3,34.07,478635,11,17.45,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,6,4323.37,6248.18,4323.47,6245.85,14.5,8.3,34.07,478635,14,0.754,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,6,4323.37,6248.18,4323.47,6245.85,14.5,8.3,34.07,478635,122,0.166,CUNNER,TAUTOGOLABRUS ADSPERSUS
NED2020025,6,4323.37,6248.18,4323.47,6245.85,14.5,8.3,34.07,478635,2511,0.167,JONAH CRAB,CANCER BOREALIS
NED2020025,6,4323.37,6248.18,4323.47,6245.85,14.5,8.3,34.07,478635,2550,0.956,AMERICAN LOBSTER,HOMARUS AMERICANUS
NED2020025,6,4323.37,6248.18,4323.47,6245.85,14.5,8.3,34.07,478635,4511,1.169,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,6,4323.37,6248.18,4323.47,6245.85,14.5,8.3,34.07,478635,6106,0.0001,SCLERASTERIAS TANNERI,SCLERASTERIAS TANNERI
NED2020025,6,4323.37,6248.18,4323.47,6245.85,14.5,8.3,34.07,478635,6111,0.021,ASTERIAS RUBENS,ASTERIAS RUBENS
NED2020025,6,4323.37,6248.18,4323.47,6245.85,14.5,8.3,34.07,478635,8100,0.013,COMB JELLIES,CTENOPHORA P.
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,10,0.902,COD(ATLANTIC),GADUS MORHUA
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,11,9.11,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,14,0.029,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,16,4.3,POLLOCK,POLLACHIUS VIRENS
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,23,0.96,REDFISH UNSEPARATED,SEBASTES SP.
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,30,20.6,HALIBUT(ATLANTIC),HIPPOGLOSSUS HIPPOGLOSSUS
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,60,3.67,HERRING(ATLANTIC),CLUPEA HARENGUS
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,2511,0.261,JONAH CRAB,CANCER BOREALIS
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,2550,5.7,AMERICAN LOBSTER,HOMARUS AMERICANUS
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,4511,2.298,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,4536,0.006,BOBTAIL SQUID,SEPIOLODAE F.
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,6111,0.09,ASTERIAS RUBENS,ASTERIAS RUBENS
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,6117,0.363,HIPPASTERIA PHRYGIANA,HIPPASTERIA PHRYGIANA
NED2020025,7,4319.47,6234.9,4320.58,6233.27,,,,,6118,0.003,BLOOD STAR (GENUS),HENRICIA SP.
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,10,0.013,COD(ATLANTIC),GADUS MORHUA
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,11,32.2,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,13,0.045,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,14,0.588,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,23,0.738,REDFISH UNSEPARATED,SEBASTES SP.
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,30,8.5,HALIBUT(ATLANTIC),HIPPOGLOSSUS HIPPOGLOSSUS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,40,0.016,AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,41,0.357,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,42,1.82,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,44,0.292,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,60,0.165,HERRING(ATLANTIC),CLUPEA HARENGUS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,203,0.772,LITTLE SKATE,LEUCORAJA ERINACEA
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,204,2.06,WINTER SKATE,LEUCORAJA OCELLATA
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,300,2.19,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,320,1.27,SEA RAVEN,HEMITRIPTERUS AMERICANUS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,400,0.209,MONKFISH,GOOSEFISH
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,2214,0.892,DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,2511,0.821,JONAH CRAB,CANCER BOREALIS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,4511,2.32,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,4536,0.006,BOBTAIL SQUID,SEPIOLODAE F.
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,6111,0.046,ASTERIAS RUBENS,ASTERIAS RUBENS
NED2020025,8,4335.99,6230.44,4337.52,6229.33,14.8,4.7,32.89,478639,6118,0.003,BLOOD STAR (GENUS),HENRICIA SP.
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,11,7.44,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,13,1.87,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,14,8.36,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,23,1.7,REDFISH UNSEPARATED,SEBASTES SP.
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,30,2.798,HALIBUT(ATLANTIC),HIPPOGLOSSUS HIPPOGLOSSUS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,41,0.386,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,44,0.036,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,60,0.994,HERRING(ATLANTIC),CLUPEA HARENGUS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,300,0.298,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,2214,0.654,DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,2511,0.814,JONAH CRAB,CANCER BOREALIS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,2550,16.33,AMERICAN LOBSTER,HOMARUS AMERICANUS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,2555,0.003,MUNIDA IRIS,MUNIDA IRIS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,4511,6.78,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,4536,0.008,BOBTAIL SQUID,SEPIOLODAE F.
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,6111,0.095,ASTERIAS RUBENS,ASTERIAS RUBENS
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,8100,0.008,COMB JELLIES,CTENOPHORA P.
NED2020025,9,4323.31,6213.19,4321.65,6212.41,15.2,10.2,34.66,478343,8500,0.462,JELLYFISHES,SCYPHOZOA C.
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,11,6.7,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,13,0.266,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,14,10.15,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,23,2.05,REDFISH UNSEPARATED,SEBASTES SP.
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,41,0.187,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,44,0.157,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,60,21.25,HERRING(ATLANTIC),CLUPEA HARENGUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,122,0.075,CUNNER,TAUTOGOLABRUS ADSPERSUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,123,0.038,ROSEFISH(BLACK BELLY),HELICOLENUS DACTYLOPTERUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,300,1.082,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,610,0.001,NORTHERN SAND LANCE,AMMODYTES DUBIUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,640,0.033,OCEAN POUT,ZOARCES AMERICANUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,720,0.008,ATLANTIC SAURY,NEEDLEFISH
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,2212,0.001,PANDALUS MONTAGUI,PANDALUS MONTAGUI
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,2214,0.056,DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,2510,0.001,BRACHIURAN CRABS,BRACHYURA S.
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,2511,0.088,JONAH CRAB,CANCER BOREALIS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,2550,1.66,AMERICAN LOBSTER,HOMARUS AMERICANUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,4511,2.18,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,4536,0.01,BOBTAIL SQUID,SEPIOLODAE F.
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,6111,0.096,ASTERIAS RUBENS,ASTERIAS RUBENS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,6118,0.008,BLOOD STAR (GENUS),HENRICIA SP.
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,6126,0.002,PTERASTER PULVILLUS,PTERASTER PULVILLUS
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,8100,0.007,COMB JELLIES,CTENOPHORA P.
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,8367,0.001,PENNATULA ACULEATA,PENNATULA ACULEATA
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,8500,0.476,JELLYFISHES,SCYPHOZOA C.
NED2020025,10,4314.23,6239.52,4313.13,6241.19,14.5,8.3,34.03,478647,8605,0.001,POLYMASTIA F.,POLYMASTIA F.
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,11,3.89,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,13,0.284,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,14,2.415,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,23,0.045,REDFISH UNSEPARATED,SEBASTES SP.
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,44,0.011,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,60,2.34,HERRING(ATLANTIC),CLUPEA HARENGUS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,122,0.374,CUNNER,TAUTOGOLABRUS ADSPERSUS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,400,3.41,MONKFISH,GOOSEFISH
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,728,0.012,SETARCHES GUENTHERI,SETARCHES GUENTHERI
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,2214,0.002,DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,2511,0.254,JONAH CRAB,CANCER BOREALIS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,4511,4.8,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,6106,0.03,SCLERASTERIAS TANNERI,SCLERASTERIAS TANNERI
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,6111,0.018,ASTERIAS RUBENS,ASTERIAS RUBENS
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,6118,0.004,BLOOD STAR (GENUS),HENRICIA SP.
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,8100,0.006,COMB JELLIES,CTENOPHORA P.
NED2020025,11,4312.9,6252.81,4314.42,6253.96,,,,,8500,0.069,JELLYFISHES,SCYPHOZOA C.
NED2020025,12,4309.4,6256.76,4308.3,6258.53,14.2,10.4,34.74,478651,11,27.96,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,12,4309.4,6256.76,4308.3,6258.53,14.2,10.4,34.74,478651,14,2.29,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,12,4309.4,6256.76,4308.3,6258.53,14.2,10.4,34.74,478651,122,0.547,CUNNER,TAUTOGOLABRUS ADSPERSUS
NED2020025,12,4309.4,6256.76,4308.3,6258.53,14.2,10.4,34.74,478651,384,0.108,DEEPBODY BOARFISH,ANTIGONIA CAPROS
NED2020025,12,4309.4,6256.76,4308.3,6258.53,14.2,10.4,34.74,478651,701,0.212,BUTTERFISH,PEPRILUS TRIACANTHUS
